,ALB,AMCR,APD,AVY,BALL,CE,CF,CME,CTVA,DD,DOW,ECL,EMN,FCX,FMC,IFF,IP,LIN,LYB,MLM,MOS,NEM,NUE,PKG,PPG,SEE,SHW,STLD,STT,VMC,WRK
2019-10-01,1.4286539652889085,0.5870101935066492,0.83582969990516,0.9979479529308762,0.598252018116286,1.1406979861278188,1.114385519411144,,,1.41766581440611,1.4335918315392386,0.7615921784540126,1.3839670040639753,1.4462116780530503,1.0367281088552522,0.8893579804678613,1.0789481991719672,0.8751055458416829,1.229131284756635,0.6402885969616738,1.3944204258854027,0.13775890037727684,1.1443371035580174,1.0086159398836585,0.9891094471483021,0.7355696719380348,0.9497329325691132,,0.9904577804739099,0.7142001982440829,1.3402488789644513
2019-10-02,1.390237606393681,0.6004674679860628,0.8476233701257833,0.9832885942369111,0.5910934435307185,1.118525873173351,1.0600716126378054,,,1.4467599526230634,1.4365700913634591,0.7472771083092918,1.3748385339008584,1.45929245430855,1.0726432993338215,0.8603174254339743,1.1118355015984143,0.8895208742776475,1.2426814899920366,0.6605403686733429,1.3481244396260448,0.15326335544793,1.1039406774062295,1.0264273391132528,0.9685500600034114,0.735068403618767,0.9232345481596091,,1.0250051627941965,0.7122009713974686,1.3658492653982137
2019-10-03,1.3898533937449147,0.6039302675178638,0.8694960290460675,0.9877637957589791,0.6053357029372228,1.1182113070502053,1.0585504408812287,,,1.4195410484447537,1.4283450015544716,0.7601456541150429,1.3699633772919035,1.4668397454061268,1.0578412839638411,0.8968266238709776,1.1048273931903825,0.9025658723747061,1.2441526159098513,0.6874919846527251,1.3165257424463879,0.13600587971234976,1.1057223049172393,1.0036598255666556,0.9752262691689241,0.747333470865086,0.9100173817574808,,1.0308038647908706,0.7332372476536158,1.368177631124919
2019-10-04,1.3917322165026396,0.6080320381293185,0.8688686595707522,0.986659631875523,0.6080457107139552,1.1180879095894225,1.0603124864943734,,,1.4224210020356503,1.4300770317417777,0.7608003088472026,1.3718712069687427,1.4653985517601942,1.0557653913761194,0.8986762986498129,1.1025683412907137,0.9023838494998699,1.2458446229827471,0.6845462961657233,1.3098852104740035,0.13779090046890877,1.10633501261346,1.0027036068696233,0.9745157064910838,0.7479651528863838,0.9097348699364256,,1.030928513104341,0.7314821879758776,1.3623309468170492
2019-10-05,1.3816876269341436,0.6036268217985957,0.8734898696524186,0.9926143023078157,0.6133180575291128,1.118122477657835,1.0572720775899198,,,1.4191741247275784,1.4256842058542212,0.7631140554556823,1.3701537561347799,1.460865319686756,1.0467156058423122,0.9018504188175307,1.0982553762693765,0.9040252795015808,1.2419241051469205,0.6859975806095973,1.2987748847254288,0.13950906513229344,1.108852615907595,1.0038853154981844,0.9805090906858593,0.7478640428518393,0.9116714226443888,,1.0381852262576972,0.7349187606010491,1.368068726266846
2019-10-06,1.3816876269341436,0.6036268217985957,0.8734898696524186,0.9926143023078157,0.6133180575291128,1.118122477657835,1.0572720775899198,,,1.4191741247275784,1.4256842058542212,0.7631140554556823,1.3701537561347799,1.460865319686756,1.0467156058423122,0.9018504188175307,1.0982553762693765,0.9040252795015808,1.2419241051469205,0.6859975806095973,1.2987748847254288,0.13950906513229344,1.108852615907595,1.0038853154981844,0.9805090906858593,0.7478640428518393,0.9116714226443888,,1.0381852262576972,0.7349187606010491,1.368068726266846
2019-10-07,1.3816876269341436,0.6036268217985957,0.8734898696524186,0.9926143023078157,0.6133180575291128,1.118122477657835,1.0572720775899198,,,1.4191741247275784,1.4256842058542212,0.7631140554556823,1.3701537561347799,1.460865319686756,1.0467156058423122,0.9018504188175307,1.0982553762693765,0.9040252795015808,1.2419241051469205,0.6859975806095973,1.2987748847254288,0.13950906513229344,1.108852615907595,1.0038853154981844,0.9805090906858593,0.7478640428518393,0.9116714226443888,,1.0381852262576972,0.7349187606010491,1.368068726266846
2019-10-08,1.383003531322054,0.6062559502113294,0.8724935894769031,0.9920794861004033,0.6143779750371173,1.1174261539673451,1.0553467538596408,,,1.4245102462940396,1.4248482428775033,0.7685727028969185,1.3715387812111337,1.4610600499416417,1.0502610695128216,0.9026611679206964,1.0971529290321187,0.8985763721350237,1.2446378277323404,0.685498470096405,1.2998560423860284,0.14006531003186215,1.1100118828812127,1.0015922510356523,0.9821373239399317,0.747782669275877,0.9108534810694617,,1.04031231059708,0.7331944237814737,1.3667167168155894
2019-10-09,1.3911610983629152,0.6153739733464585,0.8957046283489177,0.9975321709156524,0.622480806118276,1.1093462324376224,1.028583779147163,,,1.4260454547835033,1.433039260782089,0.7598716891230624,1.3727609281328053,1.4624237670972415,1.0612057334971188,0.9344237096612622,1.0933785801645066,0.9121833430288824,1.2585233729875414,0.6636647842571214,1.3145521078183753,0.10947574350123648,1.1110434131113116,0.9988067099914634,1.0019705585834568,0.759201439392036,0.8976731543120765,,1.0424986603044606,0.717884130056733,1.3477309194704263
2019-10-10,1.374146724457908,0.6192645056953864,0.9047646008976028,1.0010210412915428,0.6263777928129948,1.1026723797263998,1.014911790698353,,,1.4083453904922048,1.4163857782137141,0.7596011783384241,1.3678723273249873,1.4523899587167959,1.0544019126691542,0.9334204017249337,1.105329064153952,0.9197904000185554,1.2514659306704163,0.666483929697788,1.3165871124479671,0.10336246469114795,1.1019154525075656,1.0012318049374733,1.0107238003710384,0.763459112032507,0.9039061059436726,,1.0404992970580678,0.7142656315517539,1.345973268470279
