,ADM,BF-B,BG,CAG,CHD,CL,CLX,COKE,COST,COTY,CPB,DG,DLTR,EL,GIS,HRL,HSY,JUNE,K,KDP,KHC,KMB,KR,KVUE,LW,MDLZ,MKC,MNST,MO,PEP,PG,PM,SJM,STT,STZ,SYY,TAP,TGT,TSN,WBA,WMT
2019-10-01,0.7797268595386114,1.022881549622637,,1.2202628323182936,0.9165413587243023,1.1441877282943218,1.0416400190153476,1.1343443318415465,0.9430921034634847,0.8446376559025126,0.8557923235205767,,,1.2887598674726777,0.8631554413223685,0.8438758242971308,0.746252105988581,,0.9428654285101444,,0.5545698635587016,1.1392203104655978,0.8232758313429289,,0.6090913389682946,1.0403740874932073,0.8942856383563255,1.0608332092039299,1.0888041391126864,0.9711567403002941,1.1280808595739893,1.1370041362614574,0.8304285560766684,0.4818907834166035,0.9951242313119048,0.7987996576210329,0.952467413191077,,0.5980677748137009,0.9514871739860868,0.9066692512538539
2019-10-02,0.7894533247412435,1.0188949652787755,,1.2428080780806219,0.9123263713742097,1.157296510641893,1.0418169403098223,1.1360602529624322,0.9510172537650732,0.8376778029104216,0.8563800403895414,,,1.2924281397225232,0.8702450502160739,0.8440835462326803,0.7461970825520736,,0.9536619269840454,,0.5658715103301377,1.1392840516818628,0.8265906976739545,,0.6009853396266295,1.0464585212334137,0.8500050355174465,1.0761939070908986,1.0814964729474468,0.9684862715671381,1.12936790252947,1.1188038209830202,0.8403650345563151,0.5054086267217457,0.9870674317647455,0.7982351517919645,0.9439926837453683,,0.6181829617451131,0.9563132282907584,0.9099513189148823
2019-10-03,0.7846237176984528,1.0156297866331678,,1.2941432357749307,0.8804665923001834,1.1326869278413356,1.0095460582041105,1.160320602358862,0.8697728656215515,0.9618959616896574,0.8489938470773273,,,1.2964166629228602,0.9056722869869155,0.8556245441049635,0.7279473110631258,,0.9483925944202636,,0.6212145639434083,1.1059445739611735,0.8426844627762512,,0.5703401340389818,1.014704892004595,0.8382972871634846,1.0769232451429338,1.0780051574970175,0.9891841796725793,1.1307927719342488,1.0868797798096217,0.8157415514518624,0.546596030882783,0.9615413592044405,0.7763370383986444,0.960661014639041,,0.6166587963010333,1.0064238346327374,0.8991132946198448
2019-10-04,0.7739533663272424,1.0097085511398483,,1.2714566224173083,0.8778302703384684,1.1299092363327867,0.9853725907706482,1.151382971659279,0.8772847494948679,0.976087839154067,0.8558646275436588,,,1.2953521143413473,0.9081973762611724,0.8570572458762922,0.7347917341579467,,0.9484385515712113,,0.6184402690623148,1.096355993049822,0.8159489356787982,,0.6334966826763445,1.0177573282878787,0.8486671153989139,1.0799797562628586,1.0887308343699407,1.0142099797192665,1.127296870229613,1.0799047471318644,0.8055450104073512,0.547202870208067,0.8869339075467132,0.765400226586455,0.9516797214182114,,0.6076247501163421,0.9950669299639785,0.8933213564669454
2019-10-05,0.7973395828878921,0.9990282809196783,,1.3030965291135128,0.873397199471986,1.1290207895564768,1.0235544739134417,1.2238060419340842,0.8637561336991921,0.9609689299101245,0.849874195974872,,,1.300347759309388,0.9158956455995304,0.8635422716494533,0.7352122025842028,,0.9276125809189031,,0.6408616590720714,1.0859634605542925,0.8048938881119011,,0.6019018635611283,1.0444779390547627,0.8462746727670155,1.083731730319297,1.1030940987769142,1.0158695086267038,1.1277393121949069,1.0884626241611852,0.8078430633138007,0.5771357000202924,0.8462493804532883,0.7399102385082191,0.9155736017815025,,0.5869175885630261,0.9764734400322045,0.8966706680453218
2019-10-06,0.7973395828878921,0.9990282809196783,,1.3030965291135128,0.873397199471986,1.1290207895564768,1.0235544739134417,1.2238060419340842,0.8637561336991921,0.9609689299101245,0.849874195974872,,,1.300347759309388,0.9158956455995304,0.8635422716494533,0.7352122025842028,,0.9276125809189031,,0.6408616590720714,1.0859634605542925,0.8048938881119011,,0.6019018635611283,1.0444779390547627,0.8462746727670155,1.083731730319297,1.1030940987769142,1.0158695086267038,1.1277393121949069,1.0884626241611852,0.8078430633138007,0.5771357000202924,0.8462493804532883,0.7399102385082191,0.9155736017815025,,0.5869175885630261,0.9764734400322045,0.8966706680453218
2019-10-07,0.7973395828878921,0.9990282809196783,,1.3030965291135128,0.873397199471986,1.1290207895564768,1.0235544739134417,1.2238060419340842,0.8637561336991921,0.9609689299101245,0.849874195974872,,,1.300347759309388,0.9158956455995304,0.8635422716494533,0.7352122025842028,,0.9276125809189031,,0.6408616590720714,1.0859634605542925,0.8048938881119011,,0.6019018635611283,1.0444779390547627,0.8462746727670155,1.083731730319297,1.1030940987769142,1.0158695086267038,1.1277393121949069,1.0884626241611852,0.8078430633138007,0.5771357000202924,0.8462493804532883,0.7399102385082191,0.9155736017815025,,0.5869175885630261,0.9764734400322045,0.8966706680453218
2019-10-08,0.8077611705582405,0.9960929612847824,,1.2982444250971168,0.8629076457098143,1.1239259372918997,1.012032457162963,1.2356064439117953,0.845576340297393,0.9469996406027892,0.8518923807416029,,,1.307407604156808,0.8995029832763485,0.8544501596507919,0.7265104616365942,,0.9199633020988011,,0.6318202086443064,1.0884093242657096,0.7916423716915765,,0.6317864637266957,1.0563982924018984,0.8435436941031187,1.0911814334589856,1.0679153556193466,1.024798059053445,1.1289962511057021,1.0953718642947619,0.8011868738343585,0.5843214580153174,0.8735004424411696,0.730467805842757,0.9157283071372504,,0.6001624644292539,0.9686349561125568,0.8983319641246046
2019-10-09,0.8521889051433377,1.0054435842034632,,1.3200513648736394,0.8577086012937107,1.1272832622807778,1.0096458457952293,1.2546263109981584,0.8422839804555364,0.9570895371363922,0.848274973600865,,,1.3403484911026549,0.8963066751507419,0.8648085296802104,0.73242334979916,,0.9279505416704531,,0.6325574994298006,1.108172000416271,0.8043658046701461,,0.6083124883316985,1.0553299851285594,0.8470198909506504,1.0669557952512412,1.0543293335610737,1.0223720129914966,1.1382245001386238,1.0940330485428293,0.8091112761776778,0.6073264183989628,0.8510758204350822,0.7338526871783063,0.9250083823019383,,0.6062523834877429,0.972444928832664,0.8797299771607036
2019-10-10,0.8619141748974924,1.0119734194023036,,1.3175276608049764,0.8537165350805223,1.1169525464116987,1.0039514660274909,1.2428725771887608,0.853719223918705,0.9365984148957661,0.8497450779656215,,,1.3404649845934051,0.8988830452312453,0.8505957081629639,0.7257188092332185,,0.924939649128808,,0.6302381802339858,1.100162536116277,0.8009186182803997,,0.5924285599538429,1.0540751440149834,0.8370089977399179,1.0670727043656163,1.0598351848031637,1.018002238480343,1.1375288243235142,1.1016421935898317,0.8065596553452903,0.6139594212581548,0.8562186287296227,0.7353188035955501,0.9210938855300027,,0.6193999527981643,0.9650161935762358,0.8845258047762281
