,CAPT,CENX,CHTR,CMCSA,CSX,DIS,EA,FOXA,GOOGL,IAC,IGEN,IPG,KLDI,LUMN,LYV,META,MTCH,NFLX,NWSA,OMC,PARA,STT,T,TDW,TKAYF,TMUS,TRIP,VZ,WBD
2022-07-13,,,0.579257139746156,0.5190395853776555,,0.8527813690589013,0.4623332281787554,0.6037058862740782,1.0812808085185484,,0.6681712975626806,0.7597538499570404,,0.5622072059321933,1.0518733329311138,1.748752562624132,1.6250849705844082,1.708721275283792,0.8103448485777173,0.6354583576940024,0.9937797364072073,0.8380335046874479,0.3585855924701851,0.2914292783049188,0.24163298480968323,0.5213323366930761,,0.15807978708003964,1.26518098825118
2022-07-14,,,0.5794551807492029,0.518479992539253,,0.8529190892721956,0.462391988842538,0.6045288952343596,1.0831006041262774,,0.6679718403399193,0.7596001619619941,,0.5627432775174384,1.0501343808384633,1.7479047731993873,1.6272740726530877,1.7066838808776392,0.8108732345672285,0.6352461048726977,0.9935979511541971,0.8397356416647782,0.3592565270027311,0.29193196984125175,0.2453052181272204,0.52093833517199,,0.15853920504191915,1.2629528980465246
2022-07-15,,,0.5742948367621391,0.5187047537769537,,0.8526979734321873,0.45862663818067567,0.605430774810982,1.081740851179423,,0.6652944078159635,0.761302613534785,,0.5651714740836671,1.0512226151595891,1.7519885629656473,1.6358126559572717,1.7019255088030243,0.812662903753623,0.6377200172313937,1.0018699262410031,0.8421224323847069,0.3602754322803378,0.3029504541527678,0.24155395607151794,0.5172608360418265,,0.15808021153768045,1.2705300042308423
2022-07-16,,,0.5763639123122903,0.5368402587818398,,0.8672489460911966,0.45411336002596847,0.6235375415948761,1.067414194760096,,0.5897939172276386,0.7607197220610943,,0.5631955534207589,1.0541517648616348,1.7492054261206011,1.6163007527156676,1.737530809694335,0.8235115711842729,0.6482512447497571,1.0118066658306737,0.9103323309125284,0.36120225954263513,0.3281932352585021,0.2425474844123587,0.51499895091286,,0.16351446963401378,1.2645811002661953
2022-07-17,,,0.5763639123122903,0.5368402587818398,,0.8672489460911966,0.45411336002596847,0.6235375415948761,1.067414194760096,,0.5897939172276386,0.7607197220610943,,0.5631955534207589,1.0541517648616348,1.7492054261206011,1.6163007527156676,1.737530809694335,0.8235115711842729,0.6482512447497571,1.0118066658306737,0.9103323309125284,0.36120225954263513,0.3281932352585021,0.2425474844123587,0.51499895091286,,0.16351446963401378,1.2645811002661953
2022-07-18,,,0.5763639123122903,0.5368402587818398,,0.8672489460911966,0.45411336002596847,0.6235375415948761,1.067414194760096,,0.5897939172276386,0.7607197220610943,,0.5631955534207589,1.0541517648616348,1.7492054261206011,1.6163007527156676,1.737530809694335,0.8235115711842729,0.6482512447497571,1.0118066658306737,0.9103323309125284,0.36120225954263513,0.3281932352585021,0.2425474844123587,0.51499895091286,,0.16351446963401378,1.2645811002661953
2022-07-19,,,0.5766149506114516,0.5375237993540863,,0.865977471945272,0.45346064199972125,0.6247423494575212,1.0697015188080525,,0.5812835212903956,0.7582780963766426,,0.5628577928154007,1.0514442767757988,1.7464489722131893,1.6154367399107123,1.7352863881898293,0.8230911367378999,0.6470059862828125,1.0133806207791705,0.9110555553284879,0.3613881178918301,0.3274909546241847,0.24157118184598292,0.5173201912059542,,0.16512360358015307,1.2642904005631466
2022-07-20,,,0.5751019657390422,0.5375890813467042,,0.879387883938406,0.4637964933155046,0.634430323857739,1.0757937396929482,,0.634332582738943,0.7733174069037108,,0.5666754801651149,1.0761003606176156,1.7332001719247567,1.6450295962878325,1.7299884319694532,0.8344359798201096,0.6541854960676539,0.9970292722359155,0.9157966270242012,0.35999721613947716,0.3252023085216015,0.2399734733675438,0.5204905378114364,,0.16191097423716666,1.245027237789761
2022-07-21,,,0.5703143176941425,0.5396329646241287,,0.892935355538454,0.4629613918643388,0.6364042074546252,1.0659811194379925,,0.6626321264953337,0.7712858881908392,,0.5614816493455962,1.075214487477385,1.7403633889191257,1.6531825291310174,1.7556910536712178,0.8377243432207391,0.6699503810358335,1.0095975603423912,0.9043531844554933,0.34729242688073064,0.3208264347333612,0.2418083263776609,0.5145262258237265,,0.14505171642380907,1.2421797022074927
2022-07-22,,,0.5706240464465258,0.5398016967795977,,0.8930780552001076,0.4632681601253169,0.6364950997148755,1.0660406487071685,,0.6643872280255362,0.7708933052321224,,0.5606537531684525,1.0750127819383832,1.740378318593878,1.6534793463255357,1.7562333339784948,0.837930329628899,0.6697677218344489,1.0096169304616092,0.90455409400621,0.3461257063818185,0.3206656451483335,0.24191907014345543,0.5140393542509212,,0.1446207036190764,1.242294639346423
2022-07-23,,,0.5646172362236692,0.5119820033476891,,0.8744232344838615,0.4475579211070158,0.607501002292048,1.0869124490274864,,0.8091723806864984,0.7306637182866756,,0.5304271053045811,1.0366741609244339,1.7570909188393526,1.6277481320120029,1.7082882634661516,0.8039198330972759,0.6499912852785307,1.0027714804142167,0.8664213844289685,0.3627584542695251,0.3258663435396773,0.22565177706630202,0.5021426897287639,,0.20955030083335113,1.184878824346538
2022-07-24,,,0.5646172362236692,0.5119820033476891,,0.8744232344838615,0.4475579211070158,0.607501002292048,1.0869124490274864,,0.8091723806864984,0.7306637182866756,,0.5304271053045811,1.0366741609244339,1.7570909188393526,1.6277481320120029,1.7082882634661516,0.8039198330972759,0.6499912852785307,1.0027714804142167,0.8664213844289685,0.3627584542695251,0.3258663435396773,0.22565177706630202,0.5021426897287639,,0.20955030083335113,1.184878824346538
2022-07-25,,,0.5646172362236692,0.5119820033476891,,0.8744232344838615,0.4475579211070158,0.607501002292048,1.0869124490274864,,0.8091723806864984,0.7306637182866756,,0.5304271053045811,1.0366741609244339,1.7570909188393526,1.6277481320120029,1.7082882634661516,0.8039198330972759,0.6499912852785307,1.0027714804142167,0.8664213844289685,0.3627584542695251,0.3258663435396773,0.22565177706630202,0.5021426897287639,,0.20955030083335113,1.184878824346538
2022-07-26,,,0.5653713165555863,0.5120822169139982,,0.8742076965889337,0.44763253966764743,0.607193610514701,1.0869287964977241,,0.8091141570113808,0.7306821679093165,,0.529853587728184,1.0360667964947732,1.757715720172806,1.6281540207444856,1.7084928712346745,0.8036616753206897,0.6494804930514078,1.002355573285846,0.8660290117013233,0.3622392222341526,0.31764887493886584,0.22515428190910913,0.5011047125150947,,0.208990161318541,1.1844793502014264
2022-07-27,,,0.5584694542215126,0.5026989551272638,,0.8801830530134869,0.4390658447964672,0.6201486471294848,1.0879120462276035,,0.7528021188659638,0.7364861409822028,,0.5178255629522819,1.0403352620130313,1.7635014095698878,1.6327624871805329,1.7008094787182417,0.8010960975343967,0.6560599729993407,1.0182577786893996,0.8681794577966812,0.36544550471712905,0.3345161335036825,0.2184352677217789,0.4988661786664443,,0.2038638640735089,1.1788673461230696
2022-07-28,,,0.5192707572299908,0.49426986515208415,,0.8812903639456462,0.4277808283036821,0.6069903949990896,1.1277424010522212,,0.6084701747502277,0.7322890623845685,,0.5162214858007524,1.0329708703871485,1.7517071011138947,1.6097720003744007,1.6848328180516028,0.7841741929882148,0.6432580982599224,0.9835908423123746,0.8571324479592262,0.3512823758833467,0.35882487225872534,0.2152134467827053,0.5379694936805097,,0.1933632764818226,1.1807667696454163
2022-07-29,,,0.5436757693851398,0.5210632404307272,,0.873714186457911,0.4241716425770697,0.6030693866330787,1.1207499701866634,,0.5872820504629169,0.7263867003338097,,0.5174593189915276,1.030551850668063,1.7617291912602189,1.6014903396414581,1.6799011475128303,0.7804182083339346,0.638325769923882,0.9821241522894756,0.8493796662247382,0.3468502123075303,0.3544994559086072,0.21232682794554028,0.5348811634202045,,0.18793944091972284,1.1671041089881282
2022-07-30,,,0.5433081277518967,0.5185208356296807,,0.874325335685519,0.4233255335595976,0.6003153055162344,1.1216502977138523,,0.5808709230097807,0.7263956019480537,,0.5175053445840482,1.0309741623796276,1.7611649624049681,1.6020343751637962,1.6795708126737456,0.7805235011904827,0.6384180891331239,0.9806032950332327,0.8501427845488744,0.3474006857144652,0.35612232345494854,0.2126789783642399,0.5352748474652288,,0.18872484168323775,1.165097399751405
2022-07-31,,,0.5433081277518967,0.5185208356296807,,0.874325335685519,0.4233255335595976,0.6003153055162344,1.1216502977138523,,0.5808709230097807,0.7263956019480537,,0.5175053445840482,1.0309741623796276,1.7611649624049681,1.6020343751637962,1.6795708126737456,0.7805235011904827,0.6384180891331239,0.9806032950332327,0.8501427845488744,0.3474006857144652,0.35612232345494854,0.2126789783642399,0.5352748474652288,,0.18872484168323775,1.165097399751405
2022-08-01,,,0.5433081277518967,0.5185208356296807,,0.874325335685519,0.4233255335595976,0.6003153055162344,1.1216502977138523,,0.5808709230097807,0.7263956019480537,,0.5175053445840482,1.0309741623796276,1.7611649624049681,1.6020343751637962,1.6795708126737456,0.7805235011904827,0.6384180891331239,0.9806032950332327,0.8501427845488744,0.3474006857144652,0.35612232345494854,0.2126789783642399,0.5352748474652288,,0.18872484168323775,1.165097399751405
