,APA,BKR,CEIX,CHNR,CME,COP,CTRA,CVX,DVN,EOG,EQT,FANG,FTI,HAL,HES,HP,KMI,MPC,MRO,MXC,NOV,OKE,OXY,PSX,SLB,STT,TRGP,VLO,VNT,WMB,WT,XOM
2019-10-01,1.9212321421951863,1.116869697843377,1.1006424885617496,0.01978612939262248,,1.2780264341406489,0.6109403079636404,0.7639703762588623,1.8359830284121184,1.492335198054306,,1.4817253785722762,1.1814740776029322,1.5798272120431203,1.5820884165804086,1.6148082492224403,0.622978912420486,1.1083022262191606,1.854789216390543,2.1517965528231398,1.4738458786102497,0.751742694620366,1.0339991646295725,0.8343912913729717,1.389638300325922,0.8046308744714566,,0.9906520355627344,,0.7609892468194561,,0.8068757168460723
2019-10-02,1.932498256012136,1.112904396904475,1.1558314494193707,-0.02333686183898222,,1.281860210153008,0.5871055188724279,0.7704856550043834,1.8294582300410887,1.4923138812630818,,1.5103054786708279,1.1972804165898987,1.54513895006991,1.5271443744885305,1.5905986791846625,0.6259115475480239,1.0825134746143747,1.8484108945632642,2.082486339002444,1.446967611239267,0.747835610446725,1.020414531277866,0.8274742042301693,1.4042987504542563,0.8348575840055557,,0.959318053736736,,0.7496372381406188,,0.813776058946186
2019-10-03,1.9278274332471312,1.1074762067004984,1.1107812100267926,0.06587199822715774,,1.291235755619307,0.6013187828573336,0.7904287232959327,1.8336624709234992,1.4732907815794076,,1.4869658574652365,1.1773406807333342,1.5193798762408834,1.5053194901983222,1.5581925533165348,0.6132179824359746,1.0749154725278536,1.841904638830462,2.0332141885188575,1.421527306659299,0.7447441520921944,1.0097366529468654,0.8400745911634443,1.3945569223655325,0.8379891289877099,,0.9683601490436704,,0.7501625628584218,,0.8226857818025608
2019-10-04,1.917834700068226,1.1165818064797017,1.1122413930495427,0.06369098765597023,,1.2891547983605764,0.6207118241035726,0.7896603967524876,1.8405325010325129,1.4732135240871271,,1.4999341299148357,1.1756070482179537,1.5271939556549041,1.5226563631602916,1.5528758202376927,0.6152514560338349,1.0748614480420928,1.8509496647546186,2.0151088723267754,1.4264379020446527,0.7414967193200961,1.0069580249800307,0.8373244871330242,1.3907954098455693,0.8338312232218825,,0.9663775865029314,,0.7502728288159876,,0.8253274327435164
2019-10-05,1.8895566378561177,1.1089724718878249,1.110758232063749,0.08667148959999468,,1.2842437068221129,0.6273463818945156,0.7901217890617654,1.8340883646932873,1.470011160942777,,1.493510962727937,1.172269646276561,1.5213288528751079,1.5219232958511577,1.5429658658958696,0.616123933067472,1.0764456089387016,1.842158259759512,2.0139311851068418,1.4250256304833404,0.7390568631807153,1.0032950598155297,0.843410521856663,1.3849352846914105,0.840134277560832,,0.9683511692286848,,0.749925981449265,,0.8295201228467896
2019-10-06,1.8895566378561177,1.1089724718878249,1.110758232063749,0.08667148959999468,,1.2842437068221129,0.6273463818945156,0.7901217890617654,1.8340883646932873,1.470011160942777,,1.493510962727937,1.172269646276561,1.5213288528751079,1.5219232958511577,1.5429658658958696,0.616123933067472,1.0764456089387016,1.842158259759512,2.0139311851068418,1.4250256304833404,0.7390568631807153,1.0032950598155297,0.843410521856663,1.3849352846914105,0.840134277560832,,0.9683511692286848,,0.749925981449265,,0.8295201228467896
2019-10-07,1.8895566378561177,1.1089724718878249,1.110758232063749,0.08667148959999468,,1.2842437068221129,0.6273463818945156,0.7901217890617654,1.8340883646932873,1.470011160942777,,1.493510962727937,1.172269646276561,1.5213288528751079,1.5219232958511577,1.5429658658958696,0.616123933067472,1.0764456089387016,1.842158259759512,2.0139311851068418,1.4250256304833404,0.7390568631807153,1.0032950598155297,0.843410521856663,1.3849352846914105,0.840134277560832,,0.9683511692286848,,0.749925981449265,,0.8295201228467896
2019-10-08,1.8982929360232292,1.1171470083666182,1.1132636817339265,0.11725939435521777,,1.2676135887170856,0.6183572515961542,0.7892560746359784,1.8417626052677434,1.4711931084590866,,1.4987670747400281,1.1738368864914104,1.5189306579656525,1.5132444136751795,1.5497947102734402,0.6193755070853757,1.0754272162102265,1.8400887688977419,2.0021223586843018,1.4270236666139748,0.7457630953642624,1.0087702908211673,0.8375969084368865,1.3793543339427823,0.8417318307120141,,0.9712631391930622,,0.7501237520394842,,0.832821468549574
2019-10-09,1.9192763204368666,1.1220458231136208,1.1148993447786495,0.1791947335072877,,1.2588342680348243,0.6335072288321371,0.7896747206796323,1.85493839706723,1.4595926876973073,,1.5032000383995154,1.1753142347969197,1.4972646782668326,1.4982888456595804,1.538610322687745,0.624162834955544,1.0685705143838091,1.8361111159692507,1.9701898918398844,1.4222502739589806,0.7703791841616365,1.022569341134036,0.8298239963110129,1.3894490805030628,0.8477219184825842,,0.9567519429948428,,0.7616989291680335,,0.8380370725633237
2019-10-10,1.9175857585940725,1.1223377809145068,1.1275843152327578,0.1808417040947774,,1.2635988946479786,0.6180616048791168,0.7931040075599459,1.8494331140123812,1.4504494612665106,,1.5006940732390315,1.175902221228063,1.489997330729147,1.5110642383034814,1.5265847764357483,0.6253539933313309,1.0689061415118986,1.8315395663478502,1.9946953153006686,1.4112870994135076,0.769130611938586,1.0177148615898086,0.8360018309540524,1.3859481192177656,0.8486254783711699,,0.9637049515351482,,0.7522072792729154,,0.840312816713619
