,APA,BKR,CEIX,CHNR,CME,COP,CTRA,CVX,DVN,EOG,EQT,FANG,FTI,HAL,HES,HP,KMI,MPC,MRO,MXC,NOV,OKE,OXY,PSX,SLB,STT,TRGP,VLO,VNT,WMB,WT,XOM
2019-10-01,1.921234438579424,1.1168749329056076,1.1006410715619444,0.019784831993565337,,1.2780270755859957,0.6109417947471147,0.7639706740530936,1.8359850071946096,1.4923380110971016,,1.4817225561746692,1.181475156014296,1.5798223820301054,1.58208600230439,1.6148080782957381,0.6229756233167807,1.108303945521098,1.8547918588671415,2.151799358650739,1.4738444050090616,0.7517458553326356,1.034000767620397,0.8343906376185127,1.389640188275589,0.8046287760090164,,0.990652679221106,,0.7609902007146722,,0.8068772076862082
2019-10-02,1.9325002512672944,1.1129090408428908,1.155829973704318,-0.02333815543365176,,1.2818599493759972,0.5871067591177781,0.7704861384721483,1.8294612442249445,1.4923162390234295,,1.5103023764381807,1.1972815040886904,1.545136084674585,1.5271413837744015,1.5905991258222036,0.6259081989699454,1.082515048915577,1.8484139237461468,2.0824886347790277,1.4469664549721362,0.7478392885798905,1.0204151314427259,0.827473074000676,1.4043007286995652,0.8348561566601506,,0.9593189383418287,,0.7496389691227549,,0.8137774278860479
2019-10-03,1.9278284693871413,1.1074811149317005,1.1107801929896808,0.0658696443400436,,1.2912357611761278,0.6013200942164868,0.7904293469663964,1.8336648592867992,1.4732925480972554,,1.4869632461531088,1.17734193243254,1.5193769175015825,1.5053169581182009,1.5581920014669672,0.6132151634415087,1.074916145377106,1.8419067944745675,2.0332172878953774,1.4215269360901381,0.7447478987839522,1.0097366449778118,0.8400741468604985,1.3945592943589686,0.8379873703226277,,0.9683612140464251,,0.7501642788806103,,0.822687306517293
2019-10-04,1.917834505354246,1.1165868317238457,1.1122405481670568,0.06368865875356162,,1.2891545776062965,0.6207131889007921,0.7896613010311596,1.840534805970978,1.4732153651162978,,1.4999313944804589,1.175608458385123,1.5271912028466552,1.522653863438298,1.552875138551101,0.6152488400448862,1.074862031760579,1.8509515250068207,2.015112472608984,1.4264375886040879,0.7415006390636715,1.006957845311597,0.8373242736516268,1.3907977949231956,0.8338294440818302,,0.9663787178676246,,0.7502748603211667,,0.8253290414011853
2019-10-05,1.889556999627942,1.1089778294083206,1.1107573583952612,0.08666857247349738,,1.2842440633585601,0.6273478432369489,0.7901226411156246,1.8340907155081771,1.4700128040566123,,1.493508003249547,1.1722710054332957,1.5213259969417727,1.521920902347355,1.542964907607642,0.6161212390635724,1.0764461203987263,1.842160353863247,2.0139346822971773,1.4250255490403856,0.7390606433421706,1.0032947571939408,0.8434105085306559,1.3849374884647678,0.840132578157689,,0.9683522430310993,,0.7499279399726891,,0.8295218178950949
2019-10-06,1.889556999627942,1.1089778294083206,1.1107573583952612,0.08666857247349738,,1.2842440633585601,0.6273478432369489,0.7901226411156246,1.8340907155081771,1.4700128040566123,,1.493508003249547,1.1722710054332957,1.5213259969417727,1.521920902347355,1.542964907607642,0.6161212390635724,1.0764461203987263,1.842160353863247,2.0139346822971773,1.4250255490403856,0.7390606433421706,1.0032947571939408,0.8434105085306559,1.3849374884647678,0.840132578157689,,0.9683522430310993,,0.7499279399726891,,0.8295218178950949
2019-10-07,1.889556999627942,1.1089778294083206,1.1107573583952612,0.08666857247349738,,1.2842440633585601,0.6273478432369489,0.7901226411156246,1.8340907155081771,1.4700128040566123,,1.493508003249547,1.1722710054332957,1.5213259969417727,1.521920902347355,1.542964907607642,0.6161212390635724,1.0764461203987263,1.842160353863247,2.0139346822971773,1.4250255490403856,0.7390606433421706,1.0032947571939408,0.8434105085306559,1.3849374884647678,0.840132578157689,,0.9683522430310993,,0.7499279399726891,,0.8295218178950949
2019-10-08,1.8982932776089663,1.11715233568049,1.1132628942371987,0.11725674415514727,,1.2676149164874515,0.6183585153515531,0.7892569659546547,1.8417648346547892,1.4711944514347666,,1.4987641016987319,1.1738383152980523,1.5189276401428602,1.5132417990913507,1.5497935711382353,0.619372830214636,1.0754278992362498,1.840091190573102,2.0021258482651785,1.4270238272803593,0.745766875493254,1.0087701870406982,0.8375971008942881,1.379356225240085,0.8417301607249374,,0.9712640357787757,,0.7501257334044246,,0.8328232702649038
2019-10-09,1.9192766301680513,1.1220509388418933,1.114898323432614,0.17919232147590317,,1.2588350469034288,0.6335089605904157,0.7896757863186904,1.8549401872967448,1.459594293959651,,1.5031964363493449,1.1753158584969101,1.4972626000079399,1.498286704844548,1.5386093092417032,0.624160247729742,1.0685705108817363,1.8361131302700762,1.9701933396547149,1.4222495711343566,0.7703834067406169,1.022568609527752,0.8298240917293804,1.389450907137488,0.847720073789871,,0.9567533147476606,,0.7617007828363229,,0.8380386099592072
2019-10-10,1.9175867231356707,1.1223428649434226,1.1275832994831678,0.18083932101745517,,1.2635997221668216,0.6180637006999259,0.7931050717961226,1.8494350423047654,1.450451007946142,,1.5006902230015882,1.175903975454615,1.4899952881268663,1.5110621417916612,1.5265839025843362,0.6253515507003923,1.0689060865284261,1.8315412702884608,1.9946988286314566,1.4112854565527764,0.7691346950794488,1.0177138466746432,0.8360020282324753,1.3859496196639114,0.8486238724268605,,0.9637061880074055,,0.7522092195334857,,0.8403144366709533
