,ACGL,AFL,AIG,AIZ,AJG,ALL,AMG,AMP,AON,ARCC,AXP,BAC,BEN,BK,BLK,BRK-B,BRO,BWMG,BX,C,CB,CBOE,CFG,CINF,CMA,CME,COF,CPAY,DFS,DIGAF,EG,EXTR,FDS,FI,FIS,FITB,FRCB,GL,GPN,GS,HBAN,HIG,ICE,IVZ,JKHY,JPM,KEY,L,LNC,MA,MCO,MET,MKTX,MMC,MS,MSCI,MTB,NDAQ,NTRS,PFG,PGR,PLBC,PNC,PRU,PYPL,RF,RJF,RUN,SIVBQ,SLF,SPGI,STT,SYF,TFC,TRV,UNM,V,WFC,WRB,WTW,ZION
2022-09-17,,0.8078293087076399,1.211012570673627,0.5511095628654596,0.7854782811977109,0.8016753779898725,,1.2951697134631421,0.7596924593260189,0.6585273338410316,1.2273140038950783,1.174879454159774,1.1425850930036965,1.0294268168300122,1.2214333042436196,0.8000464132137097,0.8741217371651605,0.14263940946409553,,1.1814678536781804,0.7025191437365749,0.5056211478255885,1.3028302864943444,0.8139402113413079,1.2438636103848624,0.5259842177093866,1.4399983134523904,,1.3526890580929618,,0.732429385859159,1.0998867331550457,0.6303893680159924,,,1.2921920109335014,1.0878115716505252,0.849449921741526,,1.0868263921485752,1.1839810896632212,0.8616428440841032,0.6954562321279608,1.3659500825579913,,1.077411022308271,1.2489103479476054,0.8052794296253499,1.5469550972095352,,0.8997408091272879,0.9669434448403095,0.6809009705412714,0.7740357589178121,1.128129308742781,1.074883064505821,1.0827268047176406,0.7021928443025056,1.0908438381476717,1.1171547633196255,0.6387501692423174,0.3871974734866117,1.039761341328097,1.0748784472356308,,1.2393939686216489,1.179571572064599,,1.7197078505721985,,0.7196371661879365,1.3506225508024574,1.4858320788705588,1.0784488083440982,0.6153737743447855,,,1.285588494257543,0.7241660939911306,0.7740583779655729,1.230333771741833
2022-09-18,,0.8078293087076399,1.211012570673627,0.5511095628654596,0.7854782811977109,0.8016753779898725,,1.2951697134631421,0.7596924593260189,0.6585273338410316,1.2273140038950783,1.174879454159774,1.1425850930036965,1.0294268168300122,1.2214333042436196,0.8000464132137097,0.8741217371651605,0.14263940946409553,,1.1814678536781804,0.7025191437365749,0.5056211478255885,1.3028302864943444,0.8139402113413079,1.2438636103848624,0.5259842177093866,1.4399983134523904,,1.3526890580929618,,0.732429385859159,1.0998867331550457,0.6303893680159924,,,1.2921920109335014,1.0878115716505252,0.849449921741526,,1.0868263921485752,1.1839810896632212,0.8616428440841032,0.6954562321279608,1.3659500825579913,,1.077411022308271,1.2489103479476054,0.8052794296253499,1.5469550972095352,,0.8997408091272879,0.9669434448403095,0.6809009705412714,0.7740357589178121,1.128129308742781,1.074883064505821,1.0827268047176406,0.7021928443025056,1.0908438381476717,1.1171547633196255,0.6387501692423174,0.3871974734866117,1.039761341328097,1.0748784472356308,,1.2393939686216489,1.179571572064599,,1.7197078505721985,,0.7196371661879365,1.3506225508024574,1.4858320788705588,1.0784488083440982,0.6153737743447855,,,1.285588494257543,0.7241660939911306,0.7740583779655729,1.230333771741833
2022-09-19,,0.8078293087076399,1.211012570673627,0.5511095628654596,0.7854782811977109,0.8016753779898725,,1.2951697134631421,0.7596924593260189,0.6585273338410316,1.2273140038950783,1.174879454159774,1.1425850930036965,1.0294268168300122,1.2214333042436196,0.8000464132137097,0.8741217371651605,0.14263940946409553,,1.1814678536781804,0.7025191437365749,0.5056211478255885,1.3028302864943444,0.8139402113413079,1.2438636103848624,0.5259842177093866,1.4399983134523904,,1.3526890580929618,,0.732429385859159,1.0998867331550457,0.6303893680159924,,,1.2921920109335014,1.0878115716505252,0.849449921741526,,1.0868263921485752,1.1839810896632212,0.8616428440841032,0.6954562321279608,1.3659500825579913,,1.077411022308271,1.2489103479476054,0.8052794296253499,1.5469550972095352,,0.8997408091272879,0.9669434448403095,0.6809009705412714,0.7740357589178121,1.128129308742781,1.074883064505821,1.0827268047176406,0.7021928443025056,1.0908438381476717,1.1171547633196255,0.6387501692423174,0.3871974734866117,1.039761341328097,1.0748784472356308,,1.2393939686216489,1.179571572064599,,1.7197078505721985,,0.7196371661879365,1.3506225508024574,1.4858320788705588,1.0784488083440982,0.6153737743447855,,,1.285588494257543,0.7241660939911306,0.7740583779655729,1.230333771741833
2022-09-20,,0.810611024585035,1.212886810109544,0.548371864081431,0.7858593627693683,0.8078185664699704,,1.2986713466280912,0.7578647595792699,0.6542151147908313,1.227723705066234,1.1768554730415397,1.1517585483785564,1.0267872667605227,1.22098082263289,0.8037939662783097,0.8700748217451038,0.14094981210328741,,1.1753919320307877,0.7058916154337394,0.5023109412626253,1.3007513147029868,0.8196295424141674,1.2411545278552907,0.5201994827079035,1.435567258198022,,1.350790926370324,,0.7290230015323321,1.0960675839581455,0.6259876932645982,,,1.2904085955905262,1.0912256366599835,0.849806049966437,,1.0836687975988903,1.1892960660785963,0.8599727488719406,0.6897493297779237,1.3853794114844766,,1.0757562966409961,1.2450443919292586,0.8126799922580733,1.5496944961488428,,0.8903274738910089,0.9708800420339563,0.6455487727663267,0.7720187318337164,1.1287411893871404,1.0607423308098591,1.0888365295255897,0.6941728952101238,1.0982176683045326,1.1118560848381165,0.644873525260564,0.39299227136153275,1.038067790748793,1.0839347744286418,,1.2387115224519951,1.185183682411023,,1.7146497856060268,,0.7127312630330931,1.347941064751149,1.479544715267426,1.075885710249098,0.618222496659696,,,1.2817416680221843,0.7241093330457744,0.7767391100418349,1.2285197547964217
2022-09-21,,0.8006565532107366,1.2160333735972964,0.5618183262877932,0.7872418602240313,0.8109402422372671,,1.2933816488664311,0.7564066191096604,0.660800741025568,1.2236175497829307,1.1751985353103536,1.1474702612298875,1.0312542554602886,1.2218721265818444,0.7997260054094566,0.8646965414354685,0.2243441080050351,,1.1773794978220042,0.7147098213056469,0.5045745746222055,1.295924790083293,0.8257769859259789,1.2331733309377249,0.5273566801906097,1.4274285816614158,,1.349960859557901,,0.7537020088417552,1.0916051594036462,0.6280306622077091,,,1.2828582210135908,1.0905995540304585,0.8397085875239302,,1.0843725431470217,1.1840314675729156,0.8604295893022244,0.6979400481324628,1.391304845137504,,1.0783967828572352,1.2405083830669323,0.8209511485587588,1.5416864329173179,,0.9003058645226705,0.9697604386509721,0.6455787524154356,0.7720263984817205,1.1298527025501022,1.0552971960083126,1.0789291985750706,0.7056533047492438,1.1000630511340677,1.1067911765137528,0.6516005415205033,0.3884397873934082,1.0335741235824105,1.0830680334305303,,1.2280774737202276,1.180853458351252,,1.6965200688498296,,0.7159680040672086,1.3532859186024726,1.4873378928433545,1.0748775990917292,0.6265088136468628,,,1.2833311940657466,0.7298277523302268,0.7699832400131618,1.2245167102456112
2022-09-22,,0.7971714720715873,1.2123374895551007,0.568077763538696,0.7992435132263062,0.8123079071749657,,1.2867574437261788,0.7526216843381254,0.6526775723203155,1.2296636222258606,1.1807472947280624,1.1352405504630185,1.032278696829089,1.2190062511048825,0.8059314132884224,0.8640858167068781,0.08727120720318703,,1.1719309440928969,0.7272598759784106,0.5061425860871486,1.2776045106235894,0.8337782358941042,1.2217691708403724,0.5436362736540518,1.4154578290813038,,1.3464284635468067,,0.777749948272111,1.0835870581063385,0.6416030896001875,,,1.281446510735796,1.082081447290459,0.8224350387211218,,1.0702264710981377,1.1734065370709423,0.8719293917225284,0.6955759578520201,1.3838970552862568,,1.08462793215998,1.2417972634008976,0.8205838690760241,1.5199644344919638,,0.8959719140017895,0.96528303723339,0.6362454186714371,0.7682784511605972,1.116805294062001,1.0518499815672289,1.0665757252387824,0.7024544693417811,1.1026325864233242,1.095747566282012,0.6695599275333518,0.37470502771624953,1.0451592740887845,1.0727769023063902,,1.2183782974870205,1.1711614232348149,,1.6753330359705407,,0.7137337243937286,1.342403370337684,1.4881933930379914,1.0797420487155946,0.6378704546650571,,,1.283497560215723,0.736398764224769,0.7701836813124444,1.2104215022396214
2022-09-23,,0.8021606413349563,1.2130286328747233,0.5562255944253707,0.7975990733400862,0.8015003329760194,,1.2863305660858164,0.7449949105345905,0.6734238885318969,1.2438241484030301,1.1805504377610712,1.1376957524189268,1.044230333514656,1.2123525261608767,0.8014233032446105,0.8681290228838516,0.08722286169127268,,1.1687846857889952,0.721775347775618,0.5028318999571516,1.2898138507269161,0.8345019916753873,1.2222828833990391,0.5299794099432215,1.428072484449836,,1.3522960003291882,,0.7776129946216875,1.0907665560886528,0.6999155075925437,,,1.2888262191382882,1.095654807601413,0.819616140638107,,1.0757420003748694,1.1765745446222846,0.8689216439289722,0.681692312789866,1.384902189940872,,1.0789117621605087,1.2505301196603742,0.8252093712728019,1.521191564412494,,0.9173860347361523,0.966017230683665,0.6483359344150542,0.7706060708222425,1.117332902436533,1.060507469423759,1.0643147537786775,0.7096190856950109,1.1023089056640252,1.0892888088056476,0.6547138694215203,0.37707583336709727,1.0501873267793094,1.0660779360166257,,1.223625663029361,1.1685409796487847,,1.6895235473298853,,0.7335004729939008,1.3444502958576126,1.4914788835058759,1.0859097595508322,0.6296668410003229,,,1.2808525363379613,0.7343038047538334,0.7663091457990869,1.213900145086401
2022-09-24,,0.8045039292207705,1.2200515603183513,0.5531112233835321,0.7920954043395785,0.7950009219261834,,1.2920111079988454,0.7319215108298963,0.6780048368842535,1.2436421013655692,1.1842457427418698,1.1336379523147613,1.0456040515852962,1.2091876296217587,0.7938670750781601,0.8622195521346894,0.08724221600611898,,1.1762197751381014,0.7182449502104911,0.5067417145428783,1.289811238370407,0.8318207324362906,1.2264725737475113,0.5323362354248814,1.4237581256147327,,1.346342524730217,,0.7754752672995563,1.0961841316809051,0.6958649091521002,,,1.282919976863562,1.0801820145061876,0.8314493111482668,,1.0894311354929491,1.1757234607784595,0.8644238529039101,0.6795996244809969,1.3868158045175802,,1.0798600565767185,1.2427516187230085,0.8268788522055264,1.5358355630411316,,0.9076304565224288,0.974102576711018,0.6406594541601456,0.7609419564411035,1.1334365946381626,1.056374516639382,1.0706296614926916,0.7079137586917609,1.0975387544372304,1.1075031010122158,0.6535621237363474,0.35702882495281923,1.0510136848271978,1.0723034422747455,,1.2252557062062435,1.1804231691034692,,1.6724954915772157,,0.7346754925335431,1.3562516304282197,1.4852552922877662,1.0805935289671655,0.6295615059242394,,,1.2860283699307749,0.7322004118809851,0.7686320208745614,1.2167642959344553
2022-09-25,,0.8045039292207705,1.2200515603183513,0.5531112233835321,0.7920954043395785,0.7950009219261834,,1.2920111079988454,0.7319215108298963,0.6780048368842535,1.2436421013655692,1.1842457427418698,1.1336379523147613,1.0456040515852962,1.2091876296217587,0.7938670750781601,0.8622195521346894,0.08724221600611898,,1.1762197751381014,0.7182449502104911,0.5067417145428783,1.289811238370407,0.8318207324362906,1.2264725737475113,0.5323362354248814,1.4237581256147327,,1.346342524730217,,0.7754752672995563,1.0961841316809051,0.6958649091521002,,,1.282919976863562,1.0801820145061876,0.8314493111482668,,1.0894311354929491,1.1757234607784595,0.8644238529039101,0.6795996244809969,1.3868158045175802,,1.0798600565767185,1.2427516187230085,0.8268788522055264,1.5358355630411316,,0.9076304565224288,0.974102576711018,0.6406594541601456,0.7609419564411035,1.1334365946381626,1.056374516639382,1.0706296614926916,0.7079137586917609,1.0975387544372304,1.1075031010122158,0.6535621237363474,0.35702882495281923,1.0510136848271978,1.0723034422747455,,1.2252557062062435,1.1804231691034692,,1.6724954915772157,,0.7346754925335431,1.3562516304282197,1.4852552922877662,1.0805935289671655,0.6295615059242394,,,1.2860283699307749,0.7322004118809851,0.7686320208745614,1.2167642959344553
2022-09-26,,0.8045039292207705,1.2200515603183513,0.5531112233835321,0.7920954043395785,0.7950009219261834,,1.2920111079988454,0.7319215108298963,0.6780048368842535,1.2436421013655692,1.1842457427418698,1.1336379523147613,1.0456040515852962,1.2091876296217587,0.7938670750781601,0.8622195521346894,0.08724221600611898,,1.1762197751381014,0.7182449502104911,0.5067417145428783,1.289811238370407,0.8318207324362906,1.2264725737475113,0.5323362354248814,1.4237581256147327,,1.346342524730217,,0.7754752672995563,1.0961841316809051,0.6958649091521002,,,1.282919976863562,1.0801820145061876,0.8314493111482668,,1.0894311354929491,1.1757234607784595,0.8644238529039101,0.6795996244809969,1.3868158045175802,,1.0798600565767185,1.2427516187230085,0.8268788522055264,1.5358355630411316,,0.9076304565224288,0.974102576711018,0.6406594541601456,0.7609419564411035,1.1334365946381626,1.056374516639382,1.0706296614926916,0.7079137586917609,1.0975387544372304,1.1075031010122158,0.6535621237363474,0.35702882495281923,1.0510136848271978,1.0723034422747455,,1.2252557062062435,1.1804231691034692,,1.6724954915772157,,0.7346754925335431,1.3562516304282197,1.4852552922877662,1.0805935289671655,0.6295615059242394,,,1.2860283699307749,0.7322004118809851,0.7686320208745614,1.2167642959344553
