,AEE,AEP,AES,ATO,AWK,CEG,CMS,CNP,D,DTE,DUK,ED,EIX,ES,ETR,EVRG,EXC,FE,LNT,NEE,NI,NRG,PCG,PEG,PNW,PPL,SM,SO,SRE,STT,WEC,XEL
2019-10-01,1.0364918601575976,1.060173755790857,0.8659188600967418,0.9709069832757227,1.0689729089337763,,1.1325605545074453,0.8417563636729535,0.9964074349660194,1.0488819835206034,0.9249900738536125,0.9931487946448235,0.9796085846569119,0.9554416001063999,1.0450484158962257,0.8194270634584987,0.9559782778042176,1.0120400826222216,1.0958422477388958,1.0330369833880768,1.1341731494679788,0.8615477036840221,,0.9690096643494147,1.0207032474618314,0.8624022487093781,-0.843525372506891,0.9980074338366937,,-0.21670856354019744,1.1036127259317654,1.09422752533575
2019-10-02,1.0380499764194286,1.0617698360168026,0.868250279962657,0.9746716372264391,1.0693684717442866,,1.128822237485829,0.8465536783438554,0.9933113092611684,1.0459056652661833,0.921275715483955,0.9942511860864784,0.9917004024081014,0.9551975696170367,1.0440992418217812,0.8211146786813086,0.9585562584407771,1.0153523587313882,1.094663305902018,1.034523905750375,1.1362635337974063,0.8678020726625729,,0.9713841256951691,1.0171835780999328,0.8646166844300095,-0.7973315230600961,0.9956402385581387,,-0.19045577991798754,1.101570345702788,1.0920141988812098
2019-10-03,1.0313594725406072,1.0548677657159284,0.9241589869236149,0.9747944004209605,1.0470632438601457,,1.1128636917487285,0.883805305736006,0.9987084551956557,1.0473526455100215,0.9295389035906754,0.9995571096254213,0.936701258753156,0.9521569963203952,1.0286303563073085,0.829543240307957,0.9426548888161616,1.0123599571312094,1.0846177305396176,1.0327217945890699,1.1231569527741003,0.8996130351533231,,0.9539049790755445,1.0269221162095694,0.8948897243516761,-0.6763923633958416,0.9931775889720573,,-0.12456975039901984,1.0883343650363517,1.119533237618881
2019-10-04,1.0299386667970467,1.0552950063310576,0.9254703827883279,0.9748932579759532,1.047588756965649,,1.1138381497099712,0.881483023605899,0.997013964546708,1.045602095664442,0.9300482669073966,0.9999202690667188,0.9341456217532895,0.9521640231218552,1.027928304928136,0.8291094921516071,0.9427934011351509,1.0140131472897318,1.0842788292401646,1.0331540554694716,1.1222560147313274,0.9021999365250611,,0.954853896365198,1.026807656056575,0.8944014646886392,-0.6668080674308198,0.993320138023589,,-0.12347595179548226,1.088912520206088,1.1193857100119122
2019-10-05,1.0273983079143365,1.0491727961200599,0.9313602794953567,0.9715140251892103,1.0516993655220708,,1.110558806293505,0.8827932610945143,1.0263801394429015,1.0416207166752065,0.9508657605981905,0.9953915076958786,0.9545984630036176,0.9459894174585829,1.0384430677608738,0.8238301602293642,0.9494217627917414,1.0040510390083581,1.0913589562718637,1.0329820403952574,1.1075615638151557,0.9036783794745259,,0.9483834421232267,1.03122989603749,0.8941073719443459,-0.6458980810018359,0.9859110825758982,,-0.07222427423000832,1.0834977471438236,1.1257420366011477
2019-10-06,1.0273983079143365,1.0491727961200599,0.9313602794953567,0.9715140251892103,1.0516993655220708,,1.110558806293505,0.8827932610945143,1.0263801394429015,1.0416207166752065,0.9508657605981905,0.9953915076958786,0.9545984630036176,0.9459894174585829,1.0384430677608738,0.8238301602293642,0.9494217627917414,1.0040510390083581,1.0913589562718637,1.0329820403952574,1.1075615638151557,0.9036783794745259,,0.9483834421232267,1.03122989603749,0.8941073719443459,-0.6458980810018359,0.9859110825758982,,-0.07222427423000832,1.0834977471438236,1.1257420366011477
2019-10-07,1.0273983079143365,1.0491727961200599,0.9313602794953567,0.9715140251892103,1.0516993655220708,,1.110558806293505,0.8827932610945143,1.0263801394429015,1.0416207166752065,0.9508657605981905,0.9953915076958786,0.9545984630036176,0.9459894174585829,1.0384430677608738,0.8238301602293642,0.9494217627917414,1.0040510390083581,1.0913589562718637,1.0329820403952574,1.1075615638151557,0.9036783794745259,,0.9483834421232267,1.03122989603749,0.8941073719443459,-0.6458980810018359,0.9859110825758982,,-0.07222427423000832,1.0834977471438236,1.1257420366011477
2019-10-08,1.0304026855893957,1.044387321006712,0.9375805229145906,0.9716444249858918,1.0569939216256834,,1.1134680281624292,0.8921249397776824,1.0284596492316607,1.0361279967735015,0.9499095160988366,0.9946135287514146,0.9601923793166063,0.9457203891030347,1.0429876249600825,0.8263195074173068,0.9453187204718009,1.0045976560540166,1.0971613393648643,1.03389575287116,1.112350960487786,0.9058512919580274,,0.946621428545371,1.0251751827883269,0.8939861644525584,-0.6502975621705558,0.9848288486134728,,-0.06278458481888548,1.0883064479990088,1.1267240106770773
2019-10-09,1.0482330237003745,1.0490824996503392,0.9598541163037604,0.9786929289684647,1.0492475974392421,,1.1045752878821908,0.917354559152717,1.0208400013827252,1.0496069432096118,0.949517281171439,0.9944975261693116,0.9483177432160416,0.9416809609571039,1.0287297639315303,0.8298603312331922,0.9544913816111973,1.0036851762854957,1.0916260528158914,1.0376684953589013,1.1237194152945,0.8855887636140377,,0.9596985765853641,1.0423693745571625,0.9139364281069445,-0.5439085281456953,0.985624313139897,,-0.02470587148395091,1.0908401657445157,1.127193392125291
2019-10-10,1.0440984474899049,1.0479882252092947,0.9586607086183012,0.9759161197767633,1.051156055672749,,1.1061333812767802,0.9138922513706194,1.0228578206328318,1.0445315890418287,0.9457418560181763,0.9938001974856944,0.9414869063337327,0.9484296745214109,1.027286186088058,0.813647411540007,0.9537333659227174,1.0029755215502087,1.0898204667643638,1.0442362132849092,1.125554791140458,0.8782430727657173,,0.9612303829900621,1.0378767364868924,0.913631368619937,-0.5403170968858757,0.9881119967195243,,-0.017536396912655922,1.0922184361462026,1.1270026081389797
