Date,AIV,AMT,ARE,AVB,BXP,CBRE,CCI,CME,CPT,CSGP,DLR,DOC,EQIX,EQR,ESBA,ESS,EXR,FRT,HPQ,HST,INVH,IRM,KIM,MAA,MAC,O,PLD,PSA,REG,SBAC,SLG,SPG,STT,UDR,VICI,VNO,VTR,WELL,WY
2019-10-01,1.0212375299816847,1.0991053304737286,0.9791255304216664,0.9738153716969193,0.8829311365469943,0.7650283428158683,1.0942181740578152,,,,0.9998061757419059,,1.0433168699947055,0.925681997549335,,0.992458923537855,0.8567923829458314,0.9220896702768706,0.3947732370691263,0.5254566877435761,,0.9669059875679025,1.0116235015648523,0.9646683010979646,0.6511824213819405,1.151485203589835,1.1582783605764704,0.8372326075209233,0.953986356606585,1.0886866790258645,0.8030462593194974,0.7329277406428188,-0.23646278514635957,1.002758496307546,,0.8355488984645184,1.1698827293769305,1.1635711204478802,0.8282426900141138
2019-10-02,1.0140302541408452,1.0878151374966902,0.975717602326942,0.9707409127253905,0.8819292301583918,0.8034501077091335,1.1031700138490481,,,,0.9962129816383092,,1.0494772633925797,0.9167607574928228,,0.985487215400794,0.8605944576453204,0.9151723658625087,0.41319020059098654,0.5432281891217223,,0.9593593194293516,1.0079975355194055,0.954172672047193,0.7066225190418964,1.1350720491509467,1.1604786892281311,0.8555516480613318,0.9473752327788859,1.0992846896458532,0.8472409708928209,0.7520609187748029,-0.17903674654649254,0.9958500880451489,,0.8441343917648846,1.1651134761344724,1.168396770618843,0.8409868071492612
2019-10-03,1.0075473064776028,1.0855196321028293,0.9780301713752491,0.9599899924451881,0.9013059376028357,0.8326007414693167,1.0983083666511353,,,,1.0012992288730436,,1.058221614463738,0.9124626201684128,,0.9788889772448276,0.8596231128238725,0.9115023912449006,0.4097128680111931,0.56241357991463,,0.9611090731819811,1.0040185134000243,0.9445527762787557,0.7231445090406116,1.1297700833125683,1.153438273349603,0.8412330089525247,0.9525215295579526,1.106636346572227,0.83549380569587,0.7674346611819126,-0.1553559427623558,0.992388817839589,,0.8380710972981179,1.1532276879747916,1.1578572079282017,0.8550971452437969
2019-10-04,1.0128615196876907,1.092711760733794,0.9827829342722625,0.9635819666877886,0.9167851869459737,0.8349536324695134,1.0874382207006308,,,,1.0068282204629688,,1.0773217874850527,0.9123238205241437,,0.9702832038767828,0.8629734329857167,0.8927236483812919,0.38699538992422877,0.559014090052316,,0.9715255723308742,0.9766123681555232,0.9317391948344302,0.7068959481752767,1.1302183551203002,1.1550129133276121,0.8490623609237736,0.9304991448427764,1.109553075253503,0.8433303723323171,0.7371553098116002,-0.14611345074900411,0.9880705300197121,,0.8408859036582316,1.1556856221942353,1.162690003713186,0.8516879589468196
2019-10-05,1.016393790175968,1.0946560896589885,0.9825587749754171,0.9636421333560664,0.9183825721179532,0.8406367970067642,1.087098219210833,,,,1.0067681977829708,,1.0796689468088672,0.9121374920929193,,0.9713181687946139,0.8643632486646429,0.8933666203479721,0.33527816118702747,0.5571801960779182,,0.9632492251057655,0.9772572824159349,0.9348259084841124,0.7015940542713993,1.1313634123979344,1.1562796397699566,0.8491028731843111,0.9340025668803609,1.10522584213697,0.8451258796485985,0.737966905936081,-0.1350193003271625,0.9902518698582246,,0.8444332603591623,1.156307229767888,1.1632469319923284,0.8512786180037963
2019-10-06,1.016393790175968,1.0946560896589885,0.9825587749754171,0.9636421333560664,0.9183825721179532,0.8406367970067642,1.087098219210833,,,,1.0067681977829708,,1.0796689468088672,0.9121374920929193,,0.9713181687946139,0.8643632486646429,0.8933666203479721,0.33527816118702747,0.5571801960779182,,0.9632492251057655,0.9772572824159349,0.9348259084841124,0.7015940542713993,1.1313634123979344,1.1562796397699566,0.8491028731843111,0.9340025668803609,1.10522584213697,0.8451258796485985,0.737966905936081,-0.1350193003271625,0.9902518698582246,,0.8444332603591623,1.156307229767888,1.1632469319923284,0.8512786180037963
2019-10-07,1.016393790175968,1.0946560896589885,0.9825587749754171,0.9636421333560664,0.9183825721179532,0.8406367970067642,1.087098219210833,,,,1.0067681977829708,,1.0796689468088672,0.9121374920929193,,0.9713181687946139,0.8643632486646429,0.8933666203479721,0.33527816118702747,0.5571801960779182,,0.9632492251057655,0.9772572824159349,0.9348259084841124,0.7015940542713993,1.1313634123979344,1.1562796397699566,0.8491028731843111,0.9340025668803609,1.10522584213697,0.8451258796485985,0.737966905936081,-0.1350193003271625,0.9902518698582246,,0.8444332603591623,1.156307229767888,1.1632469319923284,0.8512786180037963
2019-10-08,1.0152382138856058,1.0952107683590508,0.9830935763119885,0.9626752589646878,0.9191675846092591,0.8417997753257337,1.0876579384482792,,,,1.0122963384288721,,1.0822580230906083,0.9104287134764807,,0.9718390423451638,0.8662533868341583,0.8928682300503876,0.33043027582844914,0.5520921445659962,,0.9616126179191292,0.9743298275843094,0.9337289821753068,0.7037315771230613,1.1337180589061688,1.1575704896922936,0.8487988616267216,0.9341297401111451,1.10480949076895,0.8449484339110188,0.7362627254494291,-0.1309048789628072,0.9896656313966883,,0.8463782276032488,1.1603541460589701,1.164452628578707,0.8507516365211413
2019-10-09,1.0125628063367336,1.0880360931654423,0.9860698358825801,0.9645996859960316,0.9218262819370546,0.8511505620982415,1.0852972933237135,,,,1.0033766572193634,,1.0900376282522062,0.9093114906569003,,0.9730726402687533,0.860993900637408,0.8945568125972576,0.3526875223624812,0.5667472258326364,,0.9648633354459328,0.9743001599874671,0.9307325124312905,0.7297317237249832,1.1282895874940184,1.1591892636853287,0.8445949708656869,0.9362864209032202,1.097357713803448,0.8471363765565322,0.7454443707831577,-0.11370609288997137,0.9879466642157412,,0.8524501271781916,1.1619683391073794,1.1634435414505258,0.8674871194943606
2019-10-10,1.0100743156081846,1.087438436597303,0.9866486224558002,0.9651079824869058,0.9231894163134172,0.8552496197327115,1.0846467810128573,,,,1.006542360732878,,1.0918679228515424,0.9082695475640682,,0.9734677757617413,0.8595498428313222,0.8933431272043274,0.3550768563251269,0.5661136239571247,,0.9617840780718099,0.9717583980626279,0.9303266978858841,0.7295389168226757,1.1285778975943097,1.1592893007567906,0.8444217412945291,0.9346835387625899,1.0982914737669716,0.8476324432714664,0.7454567924364003,-0.11032316759980426,0.9865822189153007,,0.8500454002647434,1.1631801737482266,1.1627093404841595,0.8700062214517581
