,AAP,ABNB,AMZN,APTV,AZO,BBWI,BBY,BKNG,BWA,CCL,CMG,CPRI,CZR,DG,DLTR,DPZ,DRI,EBAY,ETSY,EXPE,F,GFF,GM,GPC,GPS,GRMN,HAS,HBI,HD,HLT,HOG,HPTO,HRB,JWN,KMX,KSS,LEG,LEN,LKQ,LOW,LULU,LVS,M,MAR,MCD,MGM,MHK,NCLH,NKE,NVR,NWL,ORLY,PENN,PHM,POOL,PVH,RCL,RL,ROST,SBUX,STT,TGT,TJX,TPR,TSCO,TSLA,UAA,ULTA,VFC,WHR,WYNN,YUM,YUMC
2019-10-01,0.6813615467207731,,1.3232372519365723,1.2399912672450881,0.5650618980768898,,1.1748481168083094,0.9637908369129634,1.2516497690541755,0.9222337120885146,0.7099852533049609,1.3199701449522796,,0.8230142691909678,0.7175571341238689,,0.6694261443584173,1.0099004591452256,,0.7477072915935974,0.8912987864175641,0.8676861003322841,0.9941208588223516,0.7190534363946981,1.3427425978633303,0.6938268090695029,1.1102719267459875,1.0838725009729986,0.8889709499830324,0.8607689883841437,1.175754555326763,0.5449734750736843,0.46434305508865026,1.2311252208544277,0.7935749216512068,1.2501343828214102,1.0259735984087512,0.6609618785973199,0.9499114480465316,1.1359349379730284,,,1.2182668755781958,0.9992647438948686,0.42590756434313926,1.1336440392510954,0.907264222952783,0.8872009307590456,1.123686949611415,0.5377185302574212,1.0758275727845896,0.6361098262892467,,0.5635969660237701,,1.4551498286922928,0.9643516988558077,1.1762716578098389,1.116734831228668,0.6764038581542179,0.8448230879949129,1.0645078263914667,1.0367851321893748,1.397182137791848,1.0272333728670813,,1.4026182741775715,1.1417132422198437,1.117931490613623,1.1554835311606304,1.6154095007632667,0.4281110104372994,0.912933759071337
2019-10-02,0.6668054955449648,,1.3127851282187812,1.254473723254235,0.5620673188789314,,1.1786219988919198,0.9498394752991843,1.2597130113280997,0.9385420651070011,0.7186286218876837,1.354471797912166,,0.8180096568031455,0.7202103731799356,,0.6734295875398482,1.0123661916464048,,0.7457639750371591,0.9092868056693935,0.8510960462229212,1.018720804396958,0.7346754547596345,1.3462077997558703,0.6914632682115882,1.1148913861042686,1.1006446463772093,0.8869287359114997,0.8636441304409447,1.1782211892567598,0.5428040317925987,0.46858824933000026,1.2264042624288278,0.781708771593172,1.2515125613723979,1.0365532420416899,0.6590251664386074,0.9614549937312851,1.131347176903662,,,1.2057627139129745,0.9981205777143467,0.4467149256941427,1.1261758384894391,0.9195281334908032,0.8975007547024334,1.131564633686749,0.5347128493033906,1.073686240203448,0.6271010702449478,,0.563775299341258,,1.4688692560119823,0.9864951601409762,1.2024714729786357,1.1135094696849543,0.6910946589715339,0.8727336382205213,1.0665508717111885,1.0348787628674847,1.4008267122307982,1.0247777593998362,,1.4003844306819617,1.077663621866849,1.1097918397289857,1.167938900783398,1.5924174669940754,0.42975439133961896,0.9310701586839274
2019-10-03,0.6929554390127933,,1.2923575814348025,1.2751810749843626,0.5955752294554771,,1.2189479313620244,0.9528559687784423,1.278730647588617,0.949165581180402,0.7393716762019444,1.4110510263164844,,0.8111237150968038,0.7018131118693197,,0.6691442535109894,0.996962599983764,,0.7390336526910771,0.9369122579925044,0.859246117051912,1.0555427037801086,0.7631178222795976,1.3629734660053099,0.7042592694931074,1.1083765004948307,1.1261955997130226,0.9031149896073755,0.8596173215772628,1.1753155567534574,0.5292309334570532,0.44862899380972154,1.2732408594322244,0.8207918058917884,1.3116537803561161,1.0530284530478182,0.572701390878565,0.9721247893268086,1.147321975208566,,,1.2645337104462224,1.0092047812153577,0.4566048883031073,1.126215159849568,0.92159062956583,0.9246830629447775,1.1120217977388986,0.5603711638973211,1.120936826535838,0.6536157581389604,,0.5589167967462858,,1.4764977919925628,0.9809970248746249,1.2006850515193193,1.108007443702342,0.7150417638085876,0.8834844487849747,1.0493429551468345,1.0408070273128172,1.4131777190018278,0.9745461949207613,,1.3965933603395848,1.062561108581982,1.1210865395996288,1.1539575648242442,1.5186961875170988,0.4206691182370115,0.9348122899540794
2019-10-04,0.682597195866556,,1.2927834970832317,1.2744418065551115,0.5939233964824451,,1.220896025825914,0.9553085658670395,1.2779646557060778,0.9431909884446255,0.7399547836304702,1.4070961424674417,,0.8078785553083311,0.6991747869561158,,0.6661399026436319,0.9921769403887446,,0.7392091221609483,0.9405045212201539,0.842272965502877,1.0575157155121584,0.7628826202530121,1.3626580125713283,0.706312839223077,1.1104883334357032,1.1310778421153183,0.9032121587137,0.8628734612593181,1.1761853218889642,0.527079785556485,0.4503870002460141,1.2751264976675472,0.813592799694882,1.3133425088478294,1.051147378223407,0.5761128010846481,0.9727761123785743,1.1447880940729103,,,1.2679930462946474,1.0024556883615259,0.4636533399115574,1.1262349078594402,0.9313677045163661,0.9138136301849059,1.1127762495568394,0.5546995650775308,1.1264116989497255,0.6484182220894372,,0.5563251932205933,,1.4792616824552638,0.9844215642495177,1.2114469968869215,1.1027366780992733,0.7151694962716537,0.8834812893357893,1.0522953044667476,1.0366909852593742,1.4204451993713703,0.9857077853276783,,1.3948210816324014,1.0515339580506373,1.1208611484481557,1.151486936228772,1.5103486764379672,0.42346069178325185,0.9387928444894583
2019-10-05,0.6769922821510453,,1.2904236306713501,1.2726666120783596,0.5955141542971832,,1.2276795487343357,0.9569250907790948,1.2766511956691984,0.9401999381516564,0.7416974122873753,1.393336742391967,,0.8196157299462068,0.714557118912246,,0.6682136042981804,0.9923971767333513,,0.7324542446748806,0.9364253329168831,0.8554576185969323,1.047582690383554,0.7693123879503291,1.3381358698119608,0.7141148071069086,1.1126782941580093,1.1370508427819446,0.8991596284905949,0.8686262009908347,1.1740822582712946,0.5207360472470356,0.44174877559842546,1.2749491633635188,0.8161257451832284,1.3154661090072848,1.0537221900616398,0.5847396465353604,0.9688846867657194,1.1438271325356129,,,1.2701215505236847,1.0086926335751731,0.4663432230711374,1.118408260266252,0.9398712231919323,0.9125649859797395,1.1108413939425386,0.5743506838297278,1.1366733335742714,0.6502139922501413,,0.5729182227289608,,1.474715335146431,0.9695448580410025,1.197710753134403,1.1096174110259558,0.7219825573203268,0.8942702458496657,1.0621603483460316,1.0495391034408732,1.4175489444719054,0.9775463941246033,,1.3856967797569293,1.0202408032270807,1.126693357710503,1.1536330376504909,1.49085895643212,0.42689349945866634,0.9281892515803766
2019-10-06,0.6769922821510453,,1.2904236306713501,1.2726666120783596,0.5955141542971832,,1.2276795487343357,0.9569250907790948,1.2766511956691984,0.9401999381516564,0.7416974122873753,1.393336742391967,,0.8196157299462068,0.714557118912246,,0.6682136042981804,0.9923971767333513,,0.7324542446748806,0.9364253329168831,0.8554576185969323,1.047582690383554,0.7693123879503291,1.3381358698119608,0.7141148071069086,1.1126782941580093,1.1370508427819446,0.8991596284905949,0.8686262009908347,1.1740822582712946,0.5207360472470356,0.44174877559842546,1.2749491633635188,0.8161257451832284,1.3154661090072848,1.0537221900616398,0.5847396465353604,0.9688846867657194,1.1438271325356129,,,1.2701215505236847,1.0086926335751731,0.4663432230711374,1.118408260266252,0.9398712231919323,0.9125649859797395,1.1108413939425386,0.5743506838297278,1.1366733335742714,0.6502139922501413,,0.5729182227289608,,1.474715335146431,0.9695448580410025,1.197710753134403,1.1096174110259558,0.7219825573203268,0.8942702458496657,1.0621603483460316,1.0495391034408732,1.4175489444719054,0.9775463941246033,,1.3856967797569293,1.0202408032270807,1.126693357710503,1.1536330376504909,1.49085895643212,0.42689349945866634,0.9281892515803766
2019-10-07,0.6769922821510453,,1.2904236306713501,1.2726666120783596,0.5955141542971832,,1.2276795487343357,0.9569250907790948,1.2766511956691984,0.9401999381516564,0.7416974122873753,1.393336742391967,,0.8196157299462068,0.714557118912246,,0.6682136042981804,0.9923971767333513,,0.7324542446748806,0.9364253329168831,0.8554576185969323,1.047582690383554,0.7693123879503291,1.3381358698119608,0.7141148071069086,1.1126782941580093,1.1370508427819446,0.8991596284905949,0.8686262009908347,1.1740822582712946,0.5207360472470356,0.44174877559842546,1.2749491633635188,0.8161257451832284,1.3154661090072848,1.0537221900616398,0.5847396465353604,0.9688846867657194,1.1438271325356129,,,1.2701215505236847,1.0086926335751731,0.4663432230711374,1.118408260266252,0.9398712231919323,0.9125649859797395,1.1108413939425386,0.5743506838297278,1.1366733335742714,0.6502139922501413,,0.5729182227289608,,1.474715335146431,0.9695448580410025,1.197710753134403,1.1096174110259558,0.7219825573203268,0.8942702458496657,1.0621603483460316,1.0495391034408732,1.4175489444719054,0.9775463941246033,,1.3856967797569293,1.0202408032270807,1.126693357710503,1.1536330376504909,1.49085895643212,0.42689349945866634,0.9281892515803766
2019-10-08,0.6806455497602881,,1.2893407657392313,1.2668802762813645,0.594203893482351,,1.2255346796392987,0.9625965430916297,1.2760702805206339,0.9398993136716371,0.7465415792769121,1.3973670072560742,,0.8207462386439256,0.7281425008789749,,0.6693096068275645,0.9963253571837953,,0.734169017249842,0.9373215926169037,0.8587901673140282,1.0471574266312127,0.7744154337763772,1.3243779861209213,0.7148744289547473,1.1132648061140256,1.1337202170687481,0.9002117183978459,0.8787892965413661,1.1883044978534412,0.576905856103833,0.4371624013344526,1.2635526584328822,0.8109275452231247,1.3003000511854823,1.054215625099027,0.5856321402731457,0.9706488527487731,1.1380372624954387,,,1.2637048612901514,1.0126562594170718,0.4651437912501414,1.116604973881551,0.9375344921937628,0.9090822529138122,1.1084906970793889,0.5775867785808383,1.13365115270315,0.651055538248264,,0.5768876194694131,,1.4752296798429791,0.9702689968374386,1.19385390542421,1.1110799374955993,0.7211151311512956,0.8969625066062411,1.066067545207198,1.0437892214861528,1.4196812746451912,0.9805348362772127,,1.387291478495023,1.0320447683502227,1.1266538116178386,1.1469305802829581,1.4953741075855769,0.43037686631551736,0.9288496348745366
2019-10-09,0.6998822505298848,,1.290860768754415,1.2966716562001763,0.599232960037121,,1.2361746528636886,0.9592703011462203,1.2862840766792836,0.9474512694568727,0.7507264886694062,1.412424347923388,,0.8147378422648995,0.7178569004656875,,0.6786835923500538,0.9990622705119536,,0.7326622743702735,0.9430763593571548,0.8659266683790147,1.0611993442691952,0.787731489871946,1.3271882474526464,0.724796177454381,1.1108049100145587,1.1367682631131635,0.8913660696686667,0.8724584351874639,1.2038934506202275,0.5712016209565226,0.4517276772472917,1.2521810796414812,0.8177555822907557,1.2834022882230463,1.0645004989309035,0.5843228977119207,0.9746378149020846,1.1426642517819117,,,1.259436148839484,1.013939257445341,0.46462301717289084,1.1389872264127412,0.9411836718868646,0.9285536137283219,1.1133460978123872,0.5675073773310481,1.128568490427371,0.6477037517960054,,0.5759955551782592,,1.494002272645159,0.9745234076795926,1.1970434496905151,1.1018354500206982,0.7252526522953765,0.9075088508694066,1.0508734503452786,1.03840632179399,1.4242060561875907,0.9683566656514626,,1.3751082592592352,1.043535705463368,1.1305470739808978,1.1483786851567932,1.5216467063701562,0.43669489471818795,0.9451346250240371
2019-10-10,0.6953941802077432,,1.290335821163929,1.3008699237660775,0.601935693146809,,1.2330788145666196,0.9545560218160507,1.2924584407936401,0.9508256408755692,0.7660405169984057,1.4023192843226153,,0.8125534748570681,0.7157087830544657,,0.6698734282660455,1.0039134496899644,,0.7397900237792151,0.9391809227373757,0.8476712257938235,1.060948913533384,0.788761535573358,1.3325906154185982,0.732153350090956,1.112391052098664,1.1215453849137027,0.8925275678296158,0.873505954167141,1.1982426047158916,0.566533389034679,0.45477564448601565,1.2473249955418848,0.8258513202854574,1.2924521545064196,1.0632770793228021,0.577118476496381,0.9595399175375957,1.1329001955785318,,,1.2571868022163437,1.013382897646328,0.4675796878819694,1.1455690827508829,0.9408201783260461,0.9236475569667901,1.1117030752138,0.5536600239929266,1.1333648594252888,0.6591983164642531,,0.5768407735496079,,1.5048594316146306,0.9755729283147339,1.1928369971610182,1.103322082384778,0.7288985462718077,0.9095033377131937,1.0554090257124717,1.0409925368882498,1.4194931426822432,0.970360897895217,,1.3864804917726572,1.0414573082772336,1.1363015704045163,1.1447253331960863,1.5271406568392727,0.43847939716778217,0.943141203137293
