,AAL,ADP,ALK,ALLE,AME,AOS,AXON,BA,BLDR,BR,CARR,CAT,CHRW,CME,CMI,CPRT,CSGP,CSWC,CSX,CTAS,DAL,DAY,DE,DOV,EFX,EMR,ETN,EXPD,FAST,FBIN,FDX,FLS,FTV,GD,GE,GEHC,GLBS,GNGYF,GNRC,GWW,HII,HON,HSBC,HUBB,HWM,IEX,IR,ITW,J,JBHT,JCI,KHC,LDOS,LHX,LMT,LUV,MAS,MMM,NDSN,NOC,NSC,ODFL,OTIS,PAYC,PAYX,PCAR,PH,PNR,PWR,RHI,ROK,ROL,ROP,RSG,RTX,SNA,SPGI,STT,SWK,TDG,TDY,TT,TXT,UAL,UBER,UNP,UPS,URI,VLTO,VRSK,WAB,WM,XYLO
2019-10-01,1.3853891435122214,,0.9098782793947546,0.8061817576158887,1.0050227632847692,0.9544262642838216,,1.0044569426374619,,,,1.2801050392964963,0.8511351241002094,,1.1817741631370928,0.7817858514639109,,,1.06446973235984,0.7030683262505298,0.8971905395948129,,1.327548843992228,1.0702589712150152,0.6731456942324426,1.213990895928828,1.1977650334907728,1.0278270624066184,1.2100848902654753,1.2311589458089314,1.388803085724989,1.4888597624827957,1.0150399312250904,0.9072533026032817,1.307359771539067,,1.500917735207411,-0.09581929599900177,,1.0212599581339932,0.9481566639321114,0.9153670866978431,0.6014729255868861,,0.946376915848313,0.9267512977950236,,1.1909391731836647,0.8994423809608454,1.0775080336575795,0.723301241532021,0.36469950020842856,,0.5606393594489931,0.6513302213336154,0.9201040285635337,1.124129612894665,1.0556709664537998,,0.7299119045198296,1.0331687157813287,,,,,1.1556855366299184,1.4202943904676173,1.182919887584733,1.1056524435022397,1.145820990391277,1.3232909075295953,0.6358523837380906,0.8884103513231204,0.27990003682104164,1.078928958926132,1.0752736888656838,,1.0864262597389147,1.5005525360378105,0.9969885191126243,,0.9214615622044467,1.4693436724364894,0.940028004013963,,1.073573746950726,1.0219405118653007,1.8928257391218324,,0.5181549519828951,1.262732932930521,0.3745091919305734,0.9437880023306058
2019-10-02,1.320809189693435,,0.8601337433564622,0.8190822077940765,1.0261738404951521,0.9447787841233339,,0.983966047879297,,,,1.2798667475773853,0.8369208758456026,,1.1891727589542893,0.7654147717706754,,,1.0788250159976325,0.7164634025894716,0.8719620309336039,,1.2995602438208491,1.087939349628241,0.6769393906262894,1.2028533808117958,1.1969988352855532,1.0060459248221647,1.2486242657335034,1.1781109109972316,1.369878243737743,1.4564369699010455,1.0318979804519224,0.907500645192992,1.3174766876889417,,1.4166766682848773,-0.09064614285938684,,1.0507830106318392,0.9525173605155529,0.9328898326007015,0.5918747607535648,,0.9615157165760834,0.9368619752859092,,1.1814916718613604,0.9024274361365741,1.0663079163852367,0.7347758824640467,0.38945077596377486,,0.5864155904279438,0.6526411935917442,0.8973480325382152,1.0467231954324596,1.0785548470169486,,0.7359364556494778,1.0351108886096794,,,,,1.17287929663101,1.405172240328054,1.1822791669672035,1.1208567711679016,1.149668861920426,1.2857461160190835,0.6374684605104934,0.9110942168892473,0.2762170633911389,1.0663011988688762,1.0419917176100038,,1.1148349952577508,1.4988992951962707,1.007768896705335,,0.9295951180172523,1.4370370252955016,0.9040225233067997,,1.0983386144911045,1.0436100869141782,1.8811909312174557,,0.5166378433413505,1.3023377039678499,0.3583056232958631,0.8330749525498318
2019-10-03,1.366738288508377,,0.8919261182511706,0.8078754328961975,1.0421009237712324,0.9730628700259979,,0.9876280806156313,,,,1.2711584740320978,0.8376896565763402,,1.1879895739604898,0.7885386337405565,,,1.0620258628984542,0.7182508750169314,0.9238689252311988,,1.2818942767262322,1.0922342063909554,0.7039963580998773,1.2100638870936837,1.222898207588521,1.0251463330966426,1.219959319710364,1.1398479703778213,1.332476871653574,1.4816173078988233,1.0437717116352814,0.9191075660706081,1.2928705937235359,,1.4106104277173086,-0.08774179552590979,,1.0103129433485398,0.9732383291811197,0.935263965406329,0.6048406165870829,,1.003811064239556,0.9366331205005023,,1.1841406324468018,0.9065426450214632,1.0602593257779314,0.7561455678764236,0.4235147151483839,,0.5728460855639033,0.6603654893815608,0.9112847489422102,1.0597450480957908,1.0711115237064537,,0.7392952754311141,1.0526697328874557,,,,,1.168433819710682,1.403316422463554,1.1912229736650546,1.0918959085590383,1.1161443026579518,1.3121940127796432,0.62013584998573,0.9191137683632619,0.2893407478090484,1.074817005522898,1.0300645242203423,,1.1162613752411221,1.4877817835576619,1.0002378821723164,,0.9498872712948964,1.4323036800776345,0.9560143346633091,,1.1049990308774402,1.0193104733736333,1.8710296920115117,,0.5358949285809411,1.3166361794206762,0.34941174080420695,0.7719135885238905
2019-10-04,1.3601425979223665,,0.8842659939055995,0.8095320534396957,1.0452872097141201,0.9669896562172534,,0.9911112272427557,,,,1.2669008687528676,0.8337636868501901,,1.1866569706160213,0.798387702047491,,,1.0643807507669514,0.7138298954828842,0.9036864750948476,,1.282196354787376,1.090762873048793,0.7101175435544369,1.2137304700007232,1.2235760247481289,1.0218965323715863,1.2159709150356899,1.1401135095896868,1.3322704791177695,1.4776751436671582,1.0521784518514852,0.9172374157118229,1.3023803891204568,,1.4504781080358484,-0.08737758032671769,,1.0092418910020011,0.9780289704216156,0.9331946062186594,0.6063653839180781,,1.0007277827649792,0.9357699102301427,,1.1820525228471568,0.904234436091056,1.0674296369927883,0.7550955275269953,0.4227352286462316,,0.5785246727690003,0.6601186357757024,0.9101826029473334,1.0633731958540433,1.0659978040344609,,0.738536848042855,1.0520933647789723,,,,,1.1707617738210017,1.4006536164842414,1.1938972053657861,1.0905291608092489,1.1002856805120855,1.3169082854056398,0.6288073532707957,0.9201878057521212,0.28776873431156136,1.0738380538919363,1.0234131708690584,,1.114295758865685,1.4874644700441886,1.0043733728033888,,0.9510400198691275,1.4342210498467647,0.9493473493348603,,1.1074993988737494,1.018282699041589,1.8660176931498944,,0.5370025938946027,1.3119346683829771,0.3487329546745258,0.7704157439148624
2019-10-05,1.3695085385201746,,0.8937075242681015,0.8217286640080741,1.0500729399865094,0.9686740736817686,,0.9900721317584116,,,,1.2629405916811642,0.8394145982227252,,1.1923949829578313,0.7982138462257571,,,1.0509469332102304,0.7209068546170901,0.912783109641177,,1.2852499462400004,1.0840476617928587,0.7131172621382493,1.213262486009657,1.2218250083819104,1.0178100774213412,1.2271856017697615,1.148644821330296,1.3295065131983643,1.4771494423824514,1.0549338194532698,0.917954214569263,1.2753374443254502,,1.475943366867828,-0.08649985644192247,,1.0072114432490222,0.9784323814197405,0.9363223590448194,0.5974822862200108,,0.9996987953611552,0.9326568056548364,,1.1806841313212888,0.9135889518195388,1.0545267152691773,0.7560941998718319,0.43572457987764784,,0.5787744988715526,0.664715221124949,0.9107501095255105,1.075386078111214,1.0603418196607974,,0.7419405363645734,1.0544810701984082,,,,,1.1711553873149474,1.4006188505294626,1.1941409217412287,1.0926677983073818,1.1140331229043847,1.3101197121848287,0.6355459760029357,0.9240197420999847,0.30325488906804554,1.0774350743238013,1.03418746261279,,1.1223605161326953,1.495921755687696,1.0049493626139816,,0.949023891811666,1.4265514566042672,0.9517977137903421,,1.1133830603891615,1.020523723054412,1.854844467814457,,0.5505397445883911,1.2915747388105179,0.357836402474925,0.8234482166401383
2019-10-06,1.3695085385201746,,0.8937075242681015,0.8217286640080741,1.0500729399865094,0.9686740736817686,,0.9900721317584116,,,,1.2629405916811642,0.8394145982227252,,1.1923949829578313,0.7982138462257571,,,1.0509469332102304,0.7209068546170901,0.912783109641177,,1.2852499462400004,1.0840476617928587,0.7131172621382493,1.213262486009657,1.2218250083819104,1.0178100774213412,1.2271856017697615,1.148644821330296,1.3295065131983643,1.4771494423824514,1.0549338194532698,0.917954214569263,1.2753374443254502,,1.475943366867828,-0.08649985644192247,,1.0072114432490222,0.9784323814197405,0.9363223590448194,0.5974822862200108,,0.9996987953611552,0.9326568056548364,,1.1806841313212888,0.9135889518195388,1.0545267152691773,0.7560941998718319,0.43572457987764784,,0.5787744988715526,0.664715221124949,0.9107501095255105,1.075386078111214,1.0603418196607974,,0.7419405363645734,1.0544810701984082,,,,,1.1711553873149474,1.4006188505294626,1.1941409217412287,1.0926677983073818,1.1140331229043847,1.3101197121848287,0.6355459760029357,0.9240197420999847,0.30325488906804554,1.0774350743238013,1.03418746261279,,1.1223605161326953,1.495921755687696,1.0049493626139816,,0.949023891811666,1.4265514566042672,0.9517977137903421,,1.1133830603891615,1.020523723054412,1.854844467814457,,0.5505397445883911,1.2915747388105179,0.357836402474925,0.8234482166401383
2019-10-07,1.3695085385201746,,0.8937075242681015,0.8217286640080741,1.0500729399865094,0.9686740736817686,,0.9900721317584116,,,,1.2629405916811642,0.8394145982227252,,1.1923949829578313,0.7982138462257571,,,1.0509469332102304,0.7209068546170901,0.912783109641177,,1.2852499462400004,1.0840476617928587,0.7131172621382493,1.213262486009657,1.2218250083819104,1.0178100774213412,1.2271856017697615,1.148644821330296,1.3295065131983643,1.4771494423824514,1.0549338194532698,0.917954214569263,1.2753374443254502,,1.475943366867828,-0.08649985644192247,,1.0072114432490222,0.9784323814197405,0.9363223590448194,0.5974822862200108,,0.9996987953611552,0.9326568056548364,,1.1806841313212888,0.9135889518195388,1.0545267152691773,0.7560941998718319,0.43572457987764784,,0.5787744988715526,0.664715221124949,0.9107501095255105,1.075386078111214,1.0603418196607974,,0.7419405363645734,1.0544810701984082,,,,,1.1711553873149474,1.4006188505294626,1.1941409217412287,1.0926677983073818,1.1140331229043847,1.3101197121848287,0.6355459760029357,0.9240197420999847,0.30325488906804554,1.0774350743238013,1.03418746261279,,1.1223605161326953,1.495921755687696,1.0049493626139816,,0.949023891811666,1.4265514566042672,0.9517977137903421,,1.1133830603891615,1.020523723054412,1.854844467814457,,0.5505397445883911,1.2915747388105179,0.357836402474925,0.8234482166401383
2019-10-08,1.3653359317022036,,0.8883230169307104,0.8234758806353664,1.0522561997045903,0.9700782776762895,,0.9868948262021349,,,,1.2626961037315345,0.8365362737559512,,1.1936841963553821,0.798425106398717,,,1.0475609010348463,0.723287095654696,0.9143523735285454,,1.2857734084674104,1.0833860430061897,0.7127177576725846,1.2158098925835163,1.2249805120807724,1.019431529701848,1.235615619350609,1.1454291507074579,1.3284689968090337,1.4770184341903279,1.057897487251538,0.9154823585247963,1.272322638587248,,1.4553947940305632,-0.05765842639193289,,1.008628007376152,0.9745304149751034,0.9354101300852544,0.5963653197293907,,0.9925313989946987,0.9376538398018831,,1.182069359763568,0.9168743279924925,1.0543761431258671,0.7569218095607286,0.4344812989378858,,0.582568225758253,0.6651107174831591,0.9063537159512298,1.0755608255210656,1.0641840167118404,,0.7422333818281697,1.0548714055592188,,,,,1.1691632273980312,1.4079637935282112,1.1965025527632271,1.08726484206597,1.1117104969100617,1.3141165107172474,0.6371296454904459,0.9303318813824382,0.30365689097363696,1.0768377388787118,1.0346435993478484,,1.1243302139347493,1.4996596021034505,1.0025149018708732,,0.9553498092144486,1.42240580549107,0.9462607035132252,,1.111729372025918,1.0261998331102005,1.8564066522522373,,0.5508691782691548,1.2912986373999946,0.361048839846537,0.8457687872737661
2019-10-09,1.3099250174532366,,0.8867269893500513,0.8099347372917444,1.0623687570443665,0.9448987163833974,,0.9754745161386322,,,,1.2610147863749832,0.8398307583592652,,1.1980675081844148,0.7765092080183165,,,1.0436344106413482,0.713033889163948,0.8980713022800051,,1.2723242417794702,1.0996232112074706,0.7155243331803484,1.217659418145025,1.2350026538718673,1.0337576255936722,1.2280506411283636,1.1468036720031316,1.333677265593373,1.4974214649858388,1.0628869171017317,0.8969946004500361,1.2892320841889764,,1.4606679374875728,-0.057370410123967076,,1.0201714685023275,0.9684800540601485,0.9544532446108607,0.6006496348613269,,0.9652670053980527,0.9517166142341331,,1.192323100626725,0.9075504182728811,1.0599991858416138,0.7725705960008351,0.43467878307076835,,0.5479067314034575,0.6583706606226815,0.8872367858449668,1.0819698701779104,1.064561850805099,,0.7262536230547789,1.0715765592634694,,,,,1.1682690093666603,1.412748954119046,1.2074803507769392,1.0741338439109278,1.1196433160094952,1.317929159430689,0.6296557875427856,0.9348320895841195,0.31369005047205245,1.0740062653596079,1.0356530821823038,,1.1272889781457884,1.5051821383945463,0.9987221607797205,,0.9762063566772077,1.4276102025512334,0.9282938061259539,,1.1269678764822249,1.0392046246374256,1.8936883617910638,,0.5607620527322466,1.291150966900372,0.36571492107229675,0.8551250379330472
2019-10-10,1.3262700920244022,,0.892000553335309,0.7942675310031064,1.0636180408756093,0.9427182208898067,,0.9702936727654363,,,,1.2628847977633562,0.8425964818943044,,1.1996127959312355,0.7732264178502534,,,1.0414087722904026,0.7168422509508653,0.9029378722375638,,1.2701321652933364,1.1039677024733003,0.7299213414177419,1.2152477481742545,1.2386251719605321,1.046160903610785,1.2208232477606686,1.1453234137306245,1.3311606845553077,1.4988111750031177,1.0646429628920584,0.893535343126788,1.2881896976929932,,1.4748201110624533,-0.05646021558990035,,1.0182112159991101,0.9714290426824345,0.9541934136856629,0.6025160378574479,,0.9806315135138611,0.9535009931391925,,1.1938182554150991,0.9069057450725061,1.0528246110596775,0.772383907132063,0.433709871558941,,0.5420187963374085,0.6581686099373214,0.8878748314955686,1.0839601528590896,1.0599386284148051,,0.7185268796271237,1.0760513103974803,,,,,1.1643137248350952,1.40908144208034,1.2095090845451106,1.0710229154065276,1.1071292607615497,1.3127107032843655,0.6358440709246057,0.9423472393705897,0.31653461975765024,1.073635329457545,1.028645699196156,,1.1275326831545505,1.5117244397623846,0.9916522558435897,,0.9771897484354403,1.4257366512215124,0.9383496634815055,,1.129001754953699,1.039661054456398,1.8981158718915108,,0.5672296309876197,1.2825195799372275,0.36834136124379485,0.8867338627590822
