,AAPL,ACN,ADBE,ADI,ADP,ADSK,AKAM,AMAT,AMD,ANET,ANSS,APH,AVGO,BFH,BR,CDNS,CDW,CME,CPAY,CRM,CSCO,CTSH,DAY,DXC,ENPH,EPAM,FFIV,FI,FICO,FIS,FSLR,FTNT,GEN,GLW,GPN,HPE,HPQ,IBM,INTC,INTU,IPGP,IT,JBL,JKHY,JNPR,KEYS,KLAC,LDOS,LRCX,MA,MCHP,MITK,MPWR,MPX,MSFT,MSI,MU,NOW,NTAP,NVDA,NXPI,ON,ORCL,OSIS,PANW,PAYC,PAYX,PTC,PYPL,QCOM,QRVO,ROP,SEDG,SNPS,STT,STX,SWKS,TDY,TEL,TER,TRMB,TWLO,TXN,TYL,V,VNT,VRSN,WDC,WU,XRX,ZBRA
2019-10-01,1.1477248886697071,0.7111614305100012,1.0680383791415067,1.0797457839146483,0.7446187439466347,1.1555601300684413,0.8327235549164447,1.2285351055277671,1.7282004862726676,1.1700242426544314,1.0643127827538286,0.8330832797024628,1.0825561660645977,0.695311405819453,0.6968479176345825,1.1234938431753392,0.9062670902121459,,0.7867546684269651,0.9066496011913663,0.9381722813279065,0.7175010684495238,,1.2109166858429765,,,0.8447826024284214,0.7539591630930854,,0.679136023183064,,0.9235910717472722,0.9277224081006222,0.9075024570037626,0.8380785641810845,0.9846815981534791,0.9732319922978462,0.7484408278217415,0.9908266246649808,0.9279495555233043,1.4294700627455226,0.7112803990966082,,0.6007254479049244,0.7616699833884958,1.2431262369467977,1.1052053844800513,0.6911026234697316,1.2460227330685398,1.0037693697584815,1.2829817563674193,0.3934294881200379,,0.4923932072161454,0.9863411654332166,0.5710784716270978,1.5331089049043551,,1.147467404185014,1.6669122626710624,,,0.7208349259344542,0.46887549968794234,,,0.6869575576741136,,1.0340511272525261,0.9285817846078068,1.1098379260252085,,,1.0538590209450884,0.6180133946741964,0.970669040691301,1.2187676080508127,,0.790720483662448,,,1.4446287147691248,1.0572760499879201,,0.831812489523405,,0.8133754319480445,1.3700808592848797,0.47956489664388086,0.8105611644990551,
2019-10-02,1.1392572661013622,0.7163246081951058,1.0695232313799083,1.0845707665236732,0.7439787700722577,1.1566092056160433,0.8302659061987314,1.2198053388956918,1.7226960089891141,1.1857679258888252,1.0721108029910256,0.8363466064127014,1.078486262192717,0.7003888597279934,0.6900425724859097,1.1243708734191342,0.9129305931065166,,0.7909434778113577,0.9039282694386991,0.9541899241630122,0.7083895170716125,,1.2314596802287285,,,0.8615647437621887,0.752632534313614,,0.6828007137861795,,0.9148498275931571,0.9255537632204143,0.9182723073989785,0.8367917984691687,1.0012359779488895,0.9780436983108893,0.7519976495956502,0.9946176297582692,0.9262803096087111,1.4357470883727437,0.7164246400338435,,0.5958316667369341,0.7842226311870598,1.2451597585742138,1.1046478881249735,0.6960221654625652,1.2413088269647143,0.9992897093431613,1.2749835164761887,0.38722848805170135,,0.4893565630316348,0.9898694251044672,0.5874268771362645,1.5317851569242986,,1.1457526795214463,1.656496060264635,,,0.7311505735445343,0.4808788884697967,,,0.6897570826459622,,1.03398103709253,0.9303409895325269,1.11156753692988,,,1.0539523682882745,0.6398333954339427,0.9768343804662197,1.2261852441392758,,0.7975997527346965,,,1.4362452662013834,1.054545498601906,,0.8178963294218035,,0.8244089757781654,1.3739013011500287,0.47606213188733293,0.8149599269221212,
2019-10-03,1.1448635431382816,0.7312220472718034,1.071319988363642,1.0679510031226291,0.7560722350433576,1.1525884947625318,0.8288939666316382,1.206037055778362,1.7015385896346045,1.166916915117287,1.05155608510105,0.8415130904039273,1.0743267036002788,0.710146366121739,0.7067937963772958,1.1220171009116684,0.9063372829832291,,0.7890117905803395,0.9112622065062668,0.961302131488338,0.7043259975278997,,1.238938831686915,,,0.872473048093741,0.7625443340588087,,0.6853020550994602,,0.9152118081882687,0.9158308304523232,0.915617610961768,0.8281704445278242,0.9951142979294123,0.9533968688323272,0.7516912735840949,1.0049900859500978,0.9226698176140495,1.4329701372936305,0.717409550007622,,0.5967854162131772,0.7880086365780136,1.2315691743871222,1.1070212921850573,0.7078055903133189,1.226807034407417,1.0060755954606153,1.2771821901752975,0.37234220132210005,,0.5152035005333198,0.989120029853977,0.5819413224250456,1.5043778337209344,,1.13116374893033,1.6236731438434135,,,0.7287715399974364,0.47247767900232696,,,0.6509189103383849,,1.0429979321818243,0.9338361009459892,1.1160216964573189,,,1.0547907970148498,0.6519724549339835,0.9694528328597847,1.2283765765093655,,0.8133014247463688,,,1.436580252057396,1.0476441453605019,,0.8310153470141458,,0.8450168530532024,1.3804995248248215,0.49094268801627955,0.8162872228482226,
2019-10-04,1.1400439355287986,0.7283271235598591,1.0782466246361886,1.0712982365977715,0.7536753992054404,1.1529583509321488,0.8290965024507465,1.1967945271579572,1.695471884924219,1.1435719148622276,1.0559242842208365,0.8437363342712302,1.0768890581631274,0.7017908987461251,0.7004548461033779,1.12451911750788,0.8959777867347297,,0.7864893606301245,0.9180283715598478,0.967268625132922,0.7016135397095431,,1.236316986707016,,,0.8697130974954257,0.770692072754154,,0.6814614939633818,,0.924545066736115,0.9134936797907717,0.9159225040727792,0.8288093474430359,0.9891972398883168,0.9373657166205663,0.7462778576591855,1.005586188046507,0.9214920081660972,1.4195924853609732,0.7213881119978935,,0.5907215204297268,0.7930938078840098,1.2245251012891152,1.1044034080121414,0.7008661771449601,1.2176105278873588,1.007449108204548,1.2749360294820378,0.3855627097655409,,0.5244384848403083,0.9888204339629527,0.577159624122239,1.5174544384023814,,1.129625045546565,1.6451155287669406,,,0.7323094915673152,0.4712668171250832,,,0.6373249173061953,,1.0437887846416056,0.9425888038076518,1.1213579689158897,,,1.0599186181780669,0.6491940541884139,0.9718682361589436,1.2361297072457986,,0.8088374475690197,,,1.451913306669139,1.0484218972064245,,0.8368462101376747,,0.8526824043471564,1.3867671127240424,0.48974435829527024,0.8185960098157815,
2019-10-05,1.1487760407693028,0.7371676323006245,1.0777170769271323,1.0731077975086127,0.7518103653656236,1.1495513225376175,0.814059798091533,1.2013090909765451,1.6784428932426627,1.1451604816450474,1.0575481079275717,0.8459356640854625,1.0851609878102362,0.7034563025975368,0.6999340042006921,1.1183296752879162,0.9029680446730546,,0.8034173405572159,0.9102990274052116,0.9620218641896698,0.6964854651417666,,1.2228841360667038,,,0.8572802645359424,0.7831897883972971,,0.6815511756419581,,0.9110040868101538,0.8971475256106526,0.9174113519613435,0.8290582727986804,0.9657112190210013,0.8243583952598538,0.7405038820909282,1.0069243739869878,0.9218198989777462,1.4211310205309164,0.7288324640382505,,0.5907450444000096,0.7904208700279636,1.2147831599747099,1.1106248455903074,0.6959616754541988,1.2143647931681436,1.0121342838269092,1.2760816735192482,0.38531440521710303,,0.5185260721246009,0.9855222893285279,0.5888002221988468,1.517555508407105,,1.1249364059267863,1.6207508131467439,,,0.7444490076007816,0.45849586176017987,,,0.6486572014454065,,1.044757492915585,0.9496914297030752,1.1313674823228839,,,1.0618263813018185,0.6592589273004759,0.9656846894204775,1.2607981467227662,,0.8014677975494265,,,1.44292260847943,1.0412754323935034,,0.8409435525848424,,0.8556489070093841,1.3763440891971952,0.4985509302647337,0.8143836339681988,
2019-10-06,1.1487760407693028,0.7371676323006245,1.0777170769271323,1.0731077975086127,0.7518103653656236,1.1495513225376175,0.814059798091533,1.2013090909765451,1.6784428932426627,1.1451604816450474,1.0575481079275717,0.8459356640854625,1.0851609878102362,0.7034563025975368,0.6999340042006921,1.1183296752879162,0.9029680446730546,,0.8034173405572159,0.9102990274052116,0.9620218641896698,0.6964854651417666,,1.2228841360667038,,,0.8572802645359424,0.7831897883972971,,0.6815511756419581,,0.9110040868101538,0.8971475256106526,0.9174113519613435,0.8290582727986804,0.9657112190210013,0.8243583952598538,0.7405038820909282,1.0069243739869878,0.9218198989777462,1.4211310205309164,0.7288324640382505,,0.5907450444000096,0.7904208700279636,1.2147831599747099,1.1106248455903074,0.6959616754541988,1.2143647931681436,1.0121342838269092,1.2760816735192482,0.38531440521710303,,0.5185260721246009,0.9855222893285279,0.5888002221988468,1.517555508407105,,1.1249364059267863,1.6207508131467439,,,0.7444490076007816,0.45849586176017987,,,0.6486572014454065,,1.044757492915585,0.9496914297030752,1.1313674823228839,,,1.0618263813018185,0.6592589273004759,0.9656846894204775,1.2607981467227662,,0.8014677975494265,,,1.44292260847943,1.0412754323935034,,0.8409435525848424,,0.8556489070093841,1.3763440891971952,0.4985509302647337,0.8143836339681988,
2019-10-07,1.1487760407693028,0.7371676323006245,1.0777170769271323,1.0731077975086127,0.7518103653656236,1.1495513225376175,0.814059798091533,1.2013090909765451,1.6784428932426627,1.1451604816450474,1.0575481079275717,0.8459356640854625,1.0851609878102362,0.7034563025975368,0.6999340042006921,1.1183296752879162,0.9029680446730546,,0.8034173405572159,0.9102990274052116,0.9620218641896698,0.6964854651417666,,1.2228841360667038,,,0.8572802645359424,0.7831897883972971,,0.6815511756419581,,0.9110040868101538,0.8971475256106526,0.9174113519613435,0.8290582727986804,0.9657112190210013,0.8243583952598538,0.7405038820909282,1.0069243739869878,0.9218198989777462,1.4211310205309164,0.7288324640382505,,0.5907450444000096,0.7904208700279636,1.2147831599747099,1.1106248455903074,0.6959616754541988,1.2143647931681436,1.0121342838269092,1.2760816735192482,0.38531440521710303,,0.5185260721246009,0.9855222893285279,0.5888002221988468,1.517555508407105,,1.1249364059267863,1.6207508131467439,,,0.7444490076007816,0.45849586176017987,,,0.6486572014454065,,1.044757492915585,0.9496914297030752,1.1313674823228839,,,1.0618263813018185,0.6592589273004759,0.9656846894204775,1.2607981467227662,,0.8014677975494265,,,1.44292260847943,1.0412754323935034,,0.8409435525848424,,0.8556489070093841,1.3763440891971952,0.4985509302647337,0.8143836339681988,
2019-10-08,1.1473850190010852,0.7410110998194257,1.0761277725384633,1.0779245744712187,0.7512497839908419,1.1461352078969034,0.8156560807840398,1.2014049492702963,1.677002621544089,1.1397258476540637,1.0585747459820374,0.8473720742444896,1.0897484595776719,0.7043198651923577,0.7021152765442153,1.1182637342074317,0.9002116668043777,,0.8082558194564315,0.9071354299915455,0.9586270531293419,0.6963834114703406,,1.222940261285891,,,0.8547948250215429,0.7858234354735529,,0.6828280264690317,,0.9081976412585864,0.8961292468836685,0.9168727744625864,0.8293554224114589,0.9653118606568029,0.8193735200534787,0.7433817271698969,1.0074156543926078,0.9209604265963229,1.4190971094192968,0.729222508015487,,0.5925023065464888,0.7904405244499186,1.2146454110351668,1.1099361662444003,0.6945875115829149,1.2147336490598617,1.0130698067500092,1.2791949325811196,0.3854007895097622,,0.5277343233592487,0.9866268156009639,0.5890249234363674,1.5182824891231186,,1.1230307049171853,1.6143069927159472,,,0.7454171821873953,0.4594346843895741,,,0.6532963415902013,,1.046766471043616,0.9534634714758012,1.1337894953532413,,,1.062728906064689,0.6614306608839806,0.9650514338329502,1.2580046045974642,,0.8052688744669162,,,1.4382134414696097,1.0433016347274182,,0.8418491479796908,,0.8558003348107012,1.3779238506550424,0.49815969818046485,0.8104458668708007,
2019-10-09,1.1370056959800217,0.7544834483920512,1.078179591855697,1.1055514185418966,0.7538279378013406,1.1350372903458885,0.8263062176296544,1.2078601438557452,1.6689242672332125,1.1222306591708762,1.0714874098059328,0.8563947013152369,1.0902795594682857,0.7275067960831489,0.7083963945219757,1.1295085401921339,0.8828969490099295,,0.8110690942457919,0.9098010640693088,0.9711859856901137,0.707332709383268,,1.215839570076739,,,0.8644533783087547,0.7865507382146453,,0.677735817628354,,0.9103764318078847,0.888861399948822,0.9231520208324916,0.8317475089167169,0.9855257483137865,0.8347965534382225,0.7517640011256567,1.0061670019093067,0.9268066025558422,1.4503573823619595,0.729276487855135,,0.6007278124602495,0.8006160541996945,1.2493634105011053,1.137338748599787,0.7085637257573831,1.2126212423312204,1.0122864551746587,1.2908618072966842,0.3778586293948487,,0.5100025551890764,0.9778079078653368,0.5550896145517896,1.5261868628804354,,1.130394640748035,1.6253890011961778,,,0.745365277557063,0.4669531733848628,,,0.6512751265641397,,1.049838335238566,0.9888245040454401,1.1330403057277165,,,1.0749453439302727,0.6699820357502659,0.9996247923599694,1.2577999039144305,,0.8276726284947683,,,1.4537414952442878,1.0574621683058885,,0.8405392862194246,,0.8521668742724271,1.400013515929628,0.4970228287562432,0.8539948989898231,
2019-10-10,1.1313953850230916,0.7551624036532049,1.0756214594668339,1.1076229557827204,0.7564151369156766,1.1375432172196118,0.8292618695375864,1.2191811442745764,1.6535920148523624,1.1117474220810126,1.072538726738726,0.8622932326243921,1.0853620074403183,0.7181654635037276,0.7087436685453791,1.1318285290449537,0.8605872831640721,,0.8087543187411592,0.9051393413042983,0.9679029363336,0.7072717591891738,,1.2071371377406148,,,0.8680380873703076,0.7892144963748011,,0.6829921405180654,,0.9173032757279278,0.887900168502218,0.930379326936585,0.8408606721073076,0.987409722550239,0.8311183232687799,0.7501770886102993,1.0064064843006792,0.9266633263062573,1.4493821132442979,0.7278619609061445,,0.5928633907285725,0.7988288015031624,1.2638905574734216,1.1376167565937763,0.7079535740963249,1.2166721617695802,1.015971838856306,1.2929334701418882,0.3764135089556029,,0.5086634638856898,0.9815247882062799,0.5484682469572594,1.5106798107627941,,1.1312601487767049,1.6212053817752097,,,0.7475484940861121,0.45706808232256807,,,0.6537238507900158,,1.0414666078982793,0.9939285586725127,1.1281857905432844,,,1.0723032346218904,0.670288680671247,1.0025657593403539,1.2608474419897753,,0.8340943164801097,,,1.4571387262342788,1.0606232162494083,,0.8420005550994806,,0.8568397276563187,1.3971293142455066,0.4977261916571665,0.8577625249562448,
