,A,ABBV,ABT,ALGN,ALLE,AMGN,BAX,BDX,BIIB,BIO,BMY,BSX,CAH,CI,CIEN,CNC,COO,COR,CRL,CTLT,CVS,DGX,DHR,DVA,DXCM,ELV,EW,GEHC,GILD,HCA,HOLX,HSIC,HUM,IDXX,ILMN,INCY,IQV,ISRG,JNJ,LH,LLY,LXRX,MCK,MDT,MMSI,MOH,MRK,MRNA,MTD,NKTR,OGN,PFE,PODD,PRGO,QBIO,REGN,RMD,RVTY,STE,STT,SYK,TECH,TFX,TMO,TRP,UHS,UNH,VRTX,VTRS,WAT,WHSI,WST,XRAY,YNDX,ZBH,ZTS
2019-10-01,1.223533803050842,0.9290624419063673,1.1747738697678711,1.5890602045988236,0.7713614331012919,0.8916884098148431,0.9959080456388727,1.146145176463712,1.0422472400514748,,0.9176798989390575,1.2876943943455565,0.9312377322418786,,1.0495712330894242,1.2965320540998377,0.9182146369639034,1.0155368974438492,,,0.8949655807139864,0.7919355933317777,1.0839425707183412,0.9248940297090511,,1.0477043679903906,1.1832296336273282,,1.0537731399163546,1.103996093646043,1.1061818970209425,0.6920712108026322,0.9731151030398801,1.2687491447599952,1.464684821210755,1.2933046940630237,1.161326145117137,1.404455292486689,0.7360672167304507,0.9060439265800502,0.999284524303044,1.4323450632914159,0.9652517897170315,0.7548697488428768,0.5298062744014702,,0.9533482207169159,,1.2541533082233993,1.3738912073742837,,0.8638124132000515,,0.9833556559595629,0.259719402959335,1.366234730824649,0.9892148437087974,1.2324612470197818,,0.7823595761409099,1.0855479660775722,,1.0973255351451257,1.2005651562441915,0.42121597338561473,0.8343391779752352,1.015572086452744,1.3458003789107873,,0.9783445144740347,-2.231737558911047,,0.779653151316907,0.845460372121291,1.0029748987786915,1.0340309301024266
2019-10-02,1.239587029909526,0.9610564721529194,1.1893175936681297,1.555257939441094,0.7949781036461349,0.8829214434221804,1.0080213470676855,1.1439505622273323,1.059917809581042,,0.9082347306523483,1.2860403919968775,0.9170883447893984,,1.1289212032256568,1.292656924903024,0.9247193380813994,1.0057788771737841,,,0.8995139672961413,0.7917563150216376,1.0944145558854677,0.9226736010764449,,1.041678320815546,1.1990490569821353,,1.0430852464814793,1.1262081423552668,1.1403883999936957,0.6924505722643608,0.9662267197973148,1.2679024992784678,1.4815356277257148,1.2806338360250968,1.185463603826696,1.414835127966116,0.719967775850082,0.895034688891063,0.9966818959540344,1.3512798094861755,0.9615635517447949,0.7516444789397173,0.5662562141218539,,0.9508221465404892,,1.2685391323640258,1.3352598991258195,,0.869805411520783,,0.9883595199717665,0.34388460876044574,1.3508836674936318,0.9932762858930763,1.242520362245966,,0.8240432349355439,1.094754423815772,,1.1162994341034984,1.2037037071218155,0.4255428529118963,0.8396375579588053,1.001645424926125,1.3422959343839682,,0.9606087641921104,-2.1883350522574156,,0.7659812776244007,0.8437389467004618,1.0266050792512262,1.0171023252843678
2019-10-03,1.24427636799569,0.9632236897978956,1.2111537078002468,1.534534533882159,0.7902024918618769,0.8987391007999852,1.0191908214284933,1.1339043721441198,1.0790279746377778,,0.9387908492506664,1.3026127104100451,0.9539721339291536,,1.0805231651982483,1.2535145351887942,0.9241515193025939,1.0044348242593915,,,0.901920322190164,0.7891643615326437,1.1308624675047836,0.933146098270103,,1.0146140682067541,1.166179597212495,,1.0620691582230704,1.12539064173721,1.1256769678989194,0.7116692179142368,0.9294967867073192,1.2361137283858064,1.4901322748777017,1.2677755817067762,1.1765154482658504,1.4368976394760833,0.66989023043147,0.910965006545967,1.0373858909766347,1.246750754354294,1.0019787789127161,0.7735236890640127,0.6094757780371567,,0.9711718750873384,,1.3022066698635302,1.404938038579272,,0.8831149280237258,,0.9994893257006283,-0.36034599832062664,1.3264948849106473,1.0359605038180248,1.2074553193946929,,0.843455949320108,1.0985982863728572,,1.1225146437016642,1.2241159259330046,0.4431165319184454,0.829719903260024,0.9757767850176674,1.3140733807738558,,0.9538959889647781,-1.951480143926136,,0.8088446053138814,0.8601303601634733,1.023278345628378,1.0353331267265244
2019-10-04,1.2386539871056503,0.981477722449856,1.220987017638111,1.5540693759588151,0.7912539251972774,0.9102707561552312,1.021551540426876,1.1358935286305498,1.0751218991213405,,0.9465161295601953,1.306770973147848,0.9446695711742301,,1.0924471194615561,1.2562393210735712,0.9344959829857441,0.9988095485385448,,,0.8857649104041163,0.7638397526635757,1.132564762887897,0.9287285647981075,,1.0065306236005511,1.1942494105409318,,1.0629037242904558,1.123024269298858,1.1212345811617312,0.7054940986666998,0.9108635362645153,1.2273225084822499,1.5106002614791125,1.2849625293509022,1.199483502894714,1.437807447542883,0.655026417633341,0.9006490218158452,1.0296316383748716,1.254434577287666,0.9910075291946767,0.7750240262718107,0.618221034663148,,0.9765669764906879,,1.3020056256976313,1.4556033667303239,,0.9009551290783591,,0.9656363821761036,0.11085524700192213,1.3427924224065035,1.036475458667145,1.1930074595024331,,0.8390333138776752,1.1088689097800477,,1.1358632446388062,1.224631726965837,0.43962976115620916,0.8122253868789922,0.9584679690475896,1.3275114168472266,,0.9567174251774994,-2.0936766693263884,,0.8167097456844572,0.8830825446001997,1.0202517454576316,1.041838143646923
2019-10-05,1.2534880541314213,0.9719889985346136,1.2042787309982377,1.4733185836944869,0.8094366837939482,0.9115807000561815,1.0205708429723517,1.116627310063475,1.0564050851837332,,0.9643578770393822,1.3045962465979988,0.9258544047957649,,1.0623202221838501,1.2358572326090824,0.9264947154373224,0.9796996167651545,,,0.8902880387034225,0.7633443094360766,1.1363696478461502,0.9037023009205427,,1.0071220104191105,1.2105203730421144,,1.040493055778446,1.1179659363562422,1.0923230737583296,0.7189523126742386,0.9032465901209914,1.2356687001745528,1.4988767297506524,1.2442892986593252,1.1847517763491993,1.4308557709098473,0.6724350313791243,0.9052009267837793,1.0146223800797451,1.2734038874703253,0.9528293251048522,0.7789565069703214,0.6262122190485622,,0.9998116057842742,,1.308073680597655,1.5031210209267207,,0.9016477495150537,,0.9485373939368418,-0.2171478602196365,1.318490719003197,1.0339256309879592,1.2069461626588183,,0.8531414284274133,1.0940279373027366,,1.0839469978379919,1.251743066152862,0.44590500087252855,0.7950021844149248,0.9719306421864816,1.3082560199199444,,0.9469151175834571,-2.1031711142889784,,0.8340276174669627,0.880098330637485,1.0092534986962358,1.0506171095307713
2019-10-06,1.2534880541314213,0.9719889985346136,1.2042787309982377,1.4733185836944869,0.8094366837939482,0.9115807000561815,1.0205708429723517,1.116627310063475,1.0564050851837332,,0.9643578770393822,1.3045962465979988,0.9258544047957649,,1.0623202221838501,1.2358572326090824,0.9264947154373224,0.9796996167651545,,,0.8902880387034225,0.7633443094360766,1.1363696478461502,0.9037023009205427,,1.0071220104191105,1.2105203730421144,,1.040493055778446,1.1179659363562422,1.0923230737583296,0.7189523126742386,0.9032465901209914,1.2356687001745528,1.4988767297506524,1.2442892986593252,1.1847517763491993,1.4308557709098473,0.6724350313791243,0.9052009267837793,1.0146223800797451,1.2734038874703253,0.9528293251048522,0.7789565069703214,0.6262122190485622,,0.9998116057842742,,1.308073680597655,1.5031210209267207,,0.9016477495150537,,0.9485373939368418,-0.2171478602196365,1.318490719003197,1.0339256309879592,1.2069461626588183,,0.8531414284274133,1.0940279373027366,,1.0839469978379919,1.251743066152862,0.44590500087252855,0.7950021844149248,0.9719306421864816,1.3082560199199444,,0.9469151175834571,-2.1031711142889784,,0.8340276174669627,0.880098330637485,1.0092534986962358,1.0506171095307713
2019-10-07,1.2534880541314213,0.9719889985346136,1.2042787309982377,1.4733185836944869,0.8094366837939482,0.9115807000561815,1.0205708429723517,1.116627310063475,1.0564050851837332,,0.9643578770393822,1.3045962465979988,0.9258544047957649,,1.0623202221838501,1.2358572326090824,0.9264947154373224,0.9796996167651545,,,0.8902880387034225,0.7633443094360766,1.1363696478461502,0.9037023009205427,,1.0071220104191105,1.2105203730421144,,1.040493055778446,1.1179659363562422,1.0923230737583296,0.7189523126742386,0.9032465901209914,1.2356687001745528,1.4988767297506524,1.2442892986593252,1.1847517763491993,1.4308557709098473,0.6724350313791243,0.9052009267837793,1.0146223800797451,1.2734038874703253,0.9528293251048522,0.7789565069703214,0.6262122190485622,,0.9998116057842742,,1.308073680597655,1.5031210209267207,,0.9016477495150537,,0.9485373939368418,-0.2171478602196365,1.318490719003197,1.0339256309879592,1.2069461626588183,,0.8531414284274133,1.0940279373027366,,1.0839469978379919,1.251743066152862,0.44590500087252855,0.7950021844149248,0.9719306421864816,1.3082560199199444,,0.9469151175834571,-2.1031711142889784,,0.8340276174669627,0.880098330637485,1.0092534986962358,1.0506171095307713
2019-10-08,1.256476321463328,0.9726118895507926,1.207817271313705,1.4629465604746288,0.8117504053631002,0.9068558359050116,1.0238341379400946,1.1213476871945491,1.048438099467493,,0.9620998438236869,1.3047348698286727,0.9290460960529101,,1.061549264407926,1.2306167228856475,0.9294674022676623,0.9781560897050878,,,0.8910193260969481,0.762883844603571,1.1412746984349502,0.904969774420543,,1.0065331710524585,1.2178567311712132,,1.037538174283004,1.1138568017579638,1.088051100745541,0.7181778606427172,0.9030209320404583,1.2416396249680304,1.4977085986935312,1.242886995097056,1.1849841737973303,1.4310572342353283,0.6731490879871789,0.9044083184371108,1.0144878250552585,1.26038360792793,0.952883228272941,0.7836737751410405,0.6212776600320258,,1.0018446164315635,,1.3088982166352114,1.5063330127871948,,0.9011452203007689,,0.94811357942745,-0.19891896618545715,1.314549520033744,1.0336669056880714,1.2107250780162628,,0.8562955393543392,1.0980956612234538,,1.0847853358827517,1.2550417693335327,0.4449405507085055,0.7974532494352609,0.9671419036433061,1.3071974200264707,,0.9527172427661805,-2.0833537481634306,,0.8305195419698191,0.879769664378536,1.0079138243385395,1.0532560493317125
2019-10-09,1.2837381702561235,0.954466126643791,1.2282121120923941,1.3939809619066428,0.7820813281098544,0.8802110763385518,1.0008335008301643,1.119720393294762,1.052025167904903,,0.9445035537123416,1.393187938453376,0.9201722426603488,,1.0737091455509742,1.2282112112463814,0.9508031192094336,0.982926159665723,,,0.9140216882898372,0.7878720272973292,1.160699203708264,0.9268304725832679,,1.0127863406333106,1.2429881591931542,,1.0290344214232796,1.0927286156448905,1.0737861871592427,0.7137068386787553,0.8795449943458946,1.2252597766591078,1.5350138910172377,1.1953027759775077,1.1992141441605342,1.446698730018158,0.6663748735960395,0.9139736855930423,0.9815476938034197,1.1860581388675848,0.908220466686836,0.8008043725936342,0.6339185573970139,,0.9889287935566411,,1.3302917879726042,1.7488859531484584,,0.8846077738492981,,0.976971561195478,0.3382572528548647,1.2405675025195184,1.0247393865226913,1.3039715809960208,,0.864062988011656,1.1069425998259592,,1.1218639582926637,1.3425291736188705,0.46080871870744256,0.793936810800701,0.9332045984371721,1.2820036213802601,,1.076615072154716,-1.5184189103750092,,0.8224763897722474,0.8312351128367802,1.0222319280400018,1.0221731447577118
2019-10-10,1.2872957679423438,0.9447865731259826,1.231502818168224,1.4110456723380869,0.7642145909518906,0.8764288819249444,1.0139845903441957,1.1246345571995213,1.0464311696810071,,0.9460290566003585,1.4021812820324941,0.9210008498636049,,1.084661152843363,1.244716595386802,0.9541345487173837,0.9786327930756642,,,0.913882005677317,0.792085344767162,1.1630949808405435,0.9381387229548322,,1.0178054149180464,1.261984097148089,,1.0267485446441829,1.0931016001691611,1.0862510169343504,0.7086432282365847,0.8764484813836608,1.230673835572049,1.5526097630980067,1.190404300587417,1.197508209597766,1.4460310627127473,0.6431275042373801,0.9183426323525726,0.9760154529543412,1.103441936168873,0.9160918326069137,0.8099401988702198,0.6347162463452477,,0.99153997557421,,1.34243433751344,1.772124883893417,,0.8862348095490533,,0.9694060975150304,0.30329146745988755,1.2518066544754334,1.0306255201743595,1.3145342764942691,,0.8673871694226836,1.1121474122461152,,1.1182962438072666,1.3488422793315107,0.4679623736104126,0.8003051090233793,0.9358753530880566,1.2687794334062934,,1.0708598480953135,-1.5403439182047012,,0.8205097561022938,0.8323173119964695,1.0303259378122605,1.0214058288378554
